name,x,y,z,time_in,time_out
swbgwcgl,0.574,0.69,0.077,838,1134
xnseleiv,0.332,0.347,0.908,328,371
khqazldt,0.06,0.238,0.745,462,699
pegwaxnf,0.181,0.787,0.627,949,1482
osyrfezi,0.163,0.764,0.572,906,1575
wfejbxsq,0.561,0.333,0.946,594,889
xbvgeubl,0.652,0.884,0.789,822,1379
baumjobq,0.886,0.202,0.425,269,1485
zyuorqpl,0.313,0.229,0.279,746,1317
vfpcxujl,0.546,0.567,0.042,878,1150
vqobluop,0.723,0.307,0.013,276,737
zzufzads,0.983,0.053,0.629,60,891
uswjkwsj,0.071,0.704,0.262,333,1526
epioqcix,0.94,0.853,0.442,367,1401
xcdbajpc,0.308,0.278,0.242,146,1071
qugoaqix,0.686,0.305,0.317,614,821
gajlangx,0.381,0.713,0.258,769,1209
ktvdzyno,0.167,0.366,0.74,195,611
efdcfouo,0.165,0.042,0.247,192,796
geffiqgc,0.748,0.483,0.29,114,262
wptpefnr,0.858,0.648,0.044,237,1964
flqxszew,0.457,0.097,0.569,476,521
opvmgmmi,0.488,0.693,0.629,644,1657
fukcwmla,0.294,0.092,0.821,381,1011
fxzphcaw,0.497,0.932,0.037,379,590
rwedttec,0.452,0.462,0.525,73,506
tfdbzkfc,0.261,0.942,0.776,108,1968
qgwjpbck,0.187,0.79,0.049,624,1361
xamdffal,0.277,0.932,0.621,623,1023
mnanlzqf,0.737,0.577,0.224,402,743
dobhnrld,0.843,0.912,0.805,344,731
vipplksh,0.364,0.05,0.1,625,1699
hrvnuoof,0.604,0.441,0.792,477,1936
dzmbkbxq,0.057,0.214,0.882,817,831
pndjanbf,0.165,0.87,0.914,565,1173
cmvlgwne,0.228,0.127,0.411,273,572
ruvnptyt,0.571,0.197,0.361,942,1686
edkwkmza,0.631,0.613,0.855,827,1888
ipihafro,0.727,0.928,0.224,323,1575
dwwurkmx,0.722,0.411,0.706,525,808
tidygtia,0.397,0.502,0.829,377,1589
zxwxpybf,0.623,0.576,0.392,13,484
rmfaekhr,0.408,0.035,0.25,359,704
gcjzvtin,0.672,0.501,0.226,988,1740
ipzmilty,0.584,0.683,0.142,627,1222
gdhcacye,0.46,0.587,0.581,759,787
sumwwauj,0.9,0.35,0.197,492,1013
corouviq,0.69,0.466,0.784,427,1617
tkgtavrb,0.578,0.391,0.401,794,1696
qnnzabih,0.461,0.718,0.743,849,1785
rcvwnkoq,0.651,0.897,0.567,791,1719
rlrldrgn,0.815,0.554,0.66,992,1913
lnnnvnqp,0.105,0.665,0.256,629,1657
gnhbglci,0.454,0.419,0.476,283,1995
xryobaly,0.863,0.428,0.896,445,1295
envzdeqg,0.953,0.434,0.819,475,1979
jdeeofdq,0.064,0.777,0.253,373,482
khethyfd,0.554,0.464,0.97,2,615
jvjendsr,0.418,0.908,0.391,490,889
nvewglym,0.516,0.451,0.432,821,898
cocxgbgk,0.979,0.08,0.521,335,1366
eozcstaa,0.069,0.612,0.209,439,1687
prbqixjo,0.518,0.852,0.739,540,562
ihkamuib,0.632,0.943,0.172,782,1618
mdtkwpre,0.577,0.893,0.582,891,936
fpttrzew,0.14,0.498,0.333,582,1069
utyuknyp,0.865,0.428,0.017,594,1181
xzififfl,0.995,0.434,0.323,543,1400
vobopfvk,0.293,0.358,0.477,243,1791
afntcice,0.528,0.786,0.635,442,526
ynxzypts,0.545,0.886,0.024,154,1909
pkgamaex,0.643,0.341,0.674,959,1018
swftpjhf,0.203,0.581,0.05,354,395
topdyyaq,0.3,0.617,0.868,254,1889
hqgwyasv,0.069,0.173,0.838,519,598
pxpfngga,0.067,0.754,0.816,876,1115
gdobnxma,0.074,0.811,0.436,947,1634
eqhpfikg,0.031,0.973,0.483,406,493
qdotzzho,0.767,0.352,0.021,487,1654
pznctekb,0.658,0.135,0.666,457,1861
bqujlkmg,0.834,0.428,0.653,37,1214
bdbckxbq,0.36,0.024,0.726,604,832
lebjnbzv,0.039,0.751,0.378,294,1963
pprvagjk,0.909,0.316,0.415,211,693
ftqaimgt,0.453,0.478,0.537,392,1747
qjmbvzjy,0.478,0.905,0.229,184,1570
phslalrh,0.821,0.21,0.253,4,1290
qqpexxrv,0.166,0.837,0.104,637,1029
smaerjxv,0.64,0.83,0.788,578,1052
ioxsjytv,0.447,0.804,0.438,440,1724
vnsivvpe,0.098,0.423,0.288,347,1762
bcmhshfe,0.532,0.04,0.038,231,285
iombsana,0.97,0.542,0.093,776,1699
coapfnab,0.299,0.997,0.188,58,469
prgoizrl,0.902,0.942,0.244,256,729
riecmmuy,0.954,0.993,0.335,3,1626
ctbfgdof,0.39,0.385,0.155,367,604
muwihgpg,0.365,0.738,0.524,493,1670
tyjlhjwk,0.103,0.438,0.01,371,1844
pxnjsoqm,0.332,0.657,0.703,484,743
lnfiumqw,0.029,0.669,0.599,632,1822
tgdpsyob,0.965,0.304,0.109,672,1863
uyaaqhpw,0.787,0.564,0.856,642,1139
fswpihck,0.182,0.74,0.578,484,545
hwojovmm,0.456,0.132,0.629,719,1070
furomscf,0.029,0.211,0.229,561,1758
mddndnnh,0.646,0.358,0.806,176,573
vdxrbugt,0.804,0.993,0.632,681,867
ncdlxytu,0.72,0.235,0.226,391,1087
nydhtbpb,0.906,0.528,0.169,971,1549
obqnnysx,0.663,0.132,0.628,912,952
grcjvncy,0.403,0.951,0.271,889,1815
cozuvwzz,0.097,0.089,0.481,96,1915
yiyfylaq,0.883,0.293,0.423,9,421
brqsjzgp,0.285,0.749,0.168,969,1963
waxddlgh,0.569,0.622,0.775,850,1589
prmqvjob,0.891,0.818,0.192,630,1819
jboamwuk,0.121,0.78,0.236,771,882
vzdjccsz,0.048,0.006,0.992,99,1302
inejvhbq,0.809,0.444,0.852,209,663
sfcqfvku,0.655,0.906,0.373,77,145
andwvdrg,0.067,0.774,0.141,879,1506
ezrhkdrk,0.42,0.557,0.318,42,1373
yglvwabd,0.66,0.681,0.946,816,1594
wjvzgouy,0.952,0.968,0.871,256,1216
lktgpomg,0.524,0.821,0.7,917,982
elmoakgy,0.973,0.89,0.437,98,1538
wbszrykd,0.939,0.43,0.607,24,1593
zcusakda,0.104,0.161,0.524,164,767
klwlbcob,0.687,0.81,0.669,205,395
erzvqrry,0.466,0.604,0.577,974,1714
oqyclolw,0.686,0.25,0.439,9,1696
xiggdahq,0.394,0.322,0.034,876,1816
udvisrvi,0.682,0.75,0.136,732,1980
hszwrdrf,0.409,0.541,0.102,361,1652
xtvlznsc,0.461,0.576,0.849,409,762
olaicbey,0.064,0.179,0.874,651,827
boyjkuxc,0.828,0.072,0.495,802,1680
uanadktc,0.776,0.083,0.834,449,715
qjnzgjxp,0.282,0.562,0.007,857,1221
fpvifcuw,0.096,0.626,0.484,829,1962
dvstlquv,0.732,0.385,0.813,785,1627
sfswwzjg,0.579,0.748,0.734,672,801
nydluain,0.15,0.706,0.494,806,1381
zrlavxcg,0.713,0.441,0.201,629,680
qgfgnsub,0.623,0.967,0.052,310,1325
odnwbehv,0.733,0.127,0.596,711,1336
dnlwcuit,0.744,0.729,0.021,264,616
tzaqgqzw,0.703,0.537,0.792,53,1371
izezguhd,0.039,0.078,0.147,919,926
cylwngfo,0.611,0.973,0.771,666,1906
ivojcenh,0.685,0.223,0.901,676,1446
blstwvro,0.485,0.565,0.506,901,1822
ihbatrvj,0.657,0.852,0.013,496,1687
bxlruupq,0.768,0.705,0.136,639,642
pfigukoy,0.928,0.765,0.456,148,251
peabixkw,0.524,0.122,0.761,618,1709
jqrnvaht,0.129,0.468,0.67,693,990
lggochja,0.653,0.609,0.952,858,1421
uveahetd,0.543,0.714,0.124,221,1715
qxchpbho,0.421,0.959,0.759,260,1241
fxnawsvl,0.305,0.049,0.083,458,484
umeyzdty,0.242,0.502,0.098,504,1477
hlandqfk,0.361,0.514,0.685,562,1973
lqdxxpig,0.825,0.706,0.406,490,1430
loabccyj,0.79,0.18,0.525,549,1646
mfnhuzve,0.553,0.812,0.213,141,1004
jlnawdpa,0.637,0.695,0.988,95,1746
uqcuubfq,0.798,0.786,0.915,354,716
cesnzhgw,0.712,0.72,0.129,179,1118
uzwqxghy,0.649,0.137,0.447,287,1567
ddtakuti,0.166,0.205,0.197,803,1978
rxmkwmus,0.755,0.474,0.016,19,1327
lfbjjeeq,0.32,0.72,0.004,509,1419
loqbxaki,0.36,0.7,0.062,926,1320
hpnwgisc,0.107,0.664,0.668,257,1862
zaslamqj,0.614,0.499,0.107,751,1089
apafzsxe,0.924,0.024,0.028,569,1891
qalihkqd,0.745,0.811,0.702,413,1950
zqhnoqqv,0.045,0.179,0.187,483,494
pahtleva,0.347,0.578,0.845,554,1481
cydbrzlh,0.304,0.092,0.434,177,926
cvhorsch,0.199,0.066,0.706,752,1035
qtvcmuqy,0.73,0.958,0.946,120,1902
avddltxm,0.868,0.359,0.243,428,1879
lzubjfym,0.68,0.415,0.24,350,1022
mmkdwoha,0.758,0.13,0.923,610,1544
rhidwmer,0.985,0.488,0.604,875,1488
lprjkaim,0.115,0.349,0.352,64,1905
dyzkrdfl,0.434,0.004,0.883,733,1756
lqpauyzi,0.351,0.17,0.619,125,1756
bjdspltp,0.503,0.799,0.443,837,894
cxmptgrg,0.579,0.845,0.899,490,1137
unhgfcbb,0.126,0.363,0.382,492,1649
kfqglvam,0.279,0.808,0.762,401,519
yrvawmel,0.385,0.68,0.185,330,1563
izasjdqb,0.178,0.682,0.713,444,1751
xmvedmub,0.105,0.004,0.687,438,1691
xvxbzcjv,0.234,0.241,0.338,564,1143
xsexzbxf,0.445,0.461,0.179,505,1630
hyfcunvp,0.009,0.74,0.779,137,957
dfgkhqys,0.747,0.301,0.905,927,1197
lfeizrqs,0.053,0.002,0.149,620,979
juuioifg,0.476,0.683,0.999,133,1441
fwxfucqz,0.192,0.162,0.701,684,1294
swnfrzgs,0.941,0.125,0.242,388,747
lchqarac,0.636,0.634,0.18,101,928
jdedrnxy,0.838,0.434,0.412,224,633
tbnjojuz,0.393,0.275,0.65,473,767
bytmvcia,0.272,0.931,0.094,533,1894
zrwfaygn,0.88,0.931,0.477,729,1877
jstfhcvd,0.172,0.352,0.032,525,1192
snatcnex,0.301,0.778,0.38,962,1362
kkojpcah,0.243,0.518,0.652,898,1587
dakygfrx,0.674,0.823,0.509,104,764
clcmbbol,0.266,0.724,0.937,174,938
xtvsgyff,0.755,0.429,0.199,959,1119
eohhofnp,0.527,0.578,0.588,324,915
uwcumesg,0.588,0.793,0.875,935,1756
voumxdgb,0.633,0.279,0.729,435,713
awnzccou,0.053,0.326,0.512,119,1481
xxbjvotj,0.66,0.427,0.621,526,1276
pdecotma,0.137,0.186,0.135,874,1979
mdflpouh,0.467,0.079,0.65,1000,1505
sjgwveto,0.05,0.782,0.103,18,977
apxnqstx,0.97,0.442,0.583,976,1632
rqniluoj,0.09,0.151,0.599,524,794
ixdiuybz,0.634,0.898,0.565,209,1405
tdngazta,0.47,0.682,0.035,65,237
mdtduzyy,0.354,0.259,0.04,755,1052
gzwvbxed,0.848,0.769,0.542,621,674
nhfwdqpx,0.33,0.817,0.709,826,1561
uiczwnuh,0.556,0.468,0.651,609,1546
luoiguuc,0.522,0.745,0.324,896,1626
jknsxyfq,0.336,0.239,0.806,456,1750
naazjbff,0.481,0.868,0.4,506,1949
nnxakmbe,0.726,0.06,0.275,658,1375
wfckgtma,0.409,0.73,0.818,964,1281
zzahaxjx,0.864,0.175,0.61,151,971
dmbieeaf,0.8,0.246,0.273,403,960
kmcocdbg,0.41,0.224,0.638,287,393
jidovrol,0.959,0.767,0.382,84,751
usodwivu,0.554,0.537,0.052,365,565
cjqgadpe,0.155,0.605,0.08,214,1341
pupbufqc,0.658,0.713,0.343,780,1790
qkjbxmxr,0.723,0.821,0.641,672,911
ssxcjxoz,0.208,0.402,0.901,219,1036
yszstqji,0.216,0.934,0.623,933,1373
qubfospa,0.867,0.87,0.292,619,1864
lumlvuqm,0.075,0.724,0.383,570,1493
ywgasldz,0.866,0.175,0.552,840,1712
ibpuvymg,0.894,0.991,0.825,837,838
hmsxfnjt,0.049,0.364,0.732,147,1504
ospkxort,0.451,0.936,0.947,812,1293
vbwmqvdk,0.644,0.267,0.796,478,1999
jpdurtca,0.039,0.798,0.741,840,1988
guzjiedq,0.657,0.986,0.781,377,1002
spxxsahm,0.917,0.848,0.912,559,1641
jdabizvr,0.914,0.877,0.481,551,1248
mwsahizl,0.632,0.468,0.605,468,607
uzilqvny,0.908,0.057,0.9,76,654
olusmsco,0.959,0.815,0.149,41,1618
qtiqvaan,0.282,0.083,0.674,530,1517
abcclhmb,0.31,0.191,0.136,347,1273
lwkbpaao,0.289,0.912,0.845,801,1388
rqboxkzt,0.521,0.353,0.912,221,597
bcmvzkze,0.079,0.317,0.761,935,1125
vuftmsly,0.024,0.784,0.198,53,376
qmcbjmyp,0.812,0.633,0.648,419,1657
boygpgqq,0.377,0.207,0.548,677,1129
epmvcsyz,0.445,0.167,0.329,570,573
xfnnlxwo,0.345,0.748,0.677,91,1961
fncbyvvt,0.136,0.243,0.978,50,1465
rwplncix,0.625,0.242,0.924,678,1854
xzmhdotq,0.085,0.496,0.553,299,1011
fnelhquw,0.367,0.439,0.918,328,898
mtlwyxov,0.604,0.398,0.988,253,790
nbmzdryx,0.64,0.084,0.691,728,1232
cylapnyf,0.628,0.324,0.756,353,583
ojwkccnu,0.13,0.011,0.136,204,773
dbomundn,0.626,0.586,0.559,118,1790
ocxnexle,0.036,0.717,0.666,228,1212
bcfsmpvw,0.133,0.173,0.658,20,1092
nlkhkdly,0.156,0.549,0.127,248,905
vqwyogsk,0.903,0.015,0.487,246,1835
edoxrucl,0.47,0.685,0.081,438,1835
lqpzqdcv,0.888,0.026,0.265,630,903
qxbadnbb,0.39,0.908,0.272,674,1989
qjebdrkx,0.226,0.759,0.122,122,1361
mnmotewi,0.14,0.248,0.479,348,1329
lwxpgmqq,0.064,0.295,0.21,429,787
cswbefct,0.219,0.029,0.667,494,1732
rpgjhmat,0.859,0.382,0.497,62,1636
dqakdkxs,0.44,0.633,0.885,250,396
zysinkev,0.793,0.218,0.651,560,1081
wroulmmh,0.262,0.977,0.479,815,980
aainrgcn,0.498,0.702,0.481,611,980
bqmnhpmi,0.112,0.01,0.815,70,434
zgypsjli,0.189,0.481,0.287,847,1258
rmodnqdq,0.767,0.122,0.552,888,1628
fnjwpkze,0.176,0.674,0.028,258,1786
rxukrynk,0.943,0.652,0.912,257,1928
nqxhbesd,0.787,0.645,0.29,370,415
ldnskqcl,0.526,0.79,0.492,183,815
zbeqcsdk,0.982,0.878,0.573,253,711
opkafuns,0.751,0.572,0.643,303,333
kxnldqij,0.654,0.959,0.171,941,1747
khsdzmmc,0.855,0.281,0.772,977,1135
cszjxthd,0.368,0.235,0.035,429,836
qvqzqvmg,0.513,0.179,0.617,363,1778
ntqkzlbm,0.105,0.671,0.307,230,1651
djoaefec,0.9,0.106,0.461,544,1623
qxyxqpgp,0.746,0.044,0.712,177,1917
dyekyhjv,0.868,0.674,0.012,680,1022
jjmazxsb,0.465,0.399,0.597,263,1473
eyvtoeaq,0.802,0.893,0.322,717,740
txurypki,0.945,0.212,0.583,818,1029
dnastyrx,0.336,0.868,0.776,433,922
rytlctjn,0.059,0.087,0.116,778,825
leduirdl,0.011,0.423,0.928,364,1035
bqjpwmwp,0.624,0.909,0.933,729,753
oebtuubw,0.185,0.917,0.844,294,1347
xhyraffd,0.133,0.5,0.289,572,1691
saaqymcu,0.415,0.182,0.215,968,1918
tdwccijb,0.272,0.887,0.279,554,1692
lacvkdwj,0.362,0.155,0.753,383,708
nahdcaiq,0.281,0.468,0.326,158,1805
lwxqggho,0.012,0.425,0.582,362,547
lvodlfzy,0.691,0.082,0.818,239,369
oxygdlgq,0.377,0.713,0.556,652,1970
nfwppews,0.352,0.155,0.355,409,1795
rbpgteip,0.615,0.379,0.916,48,67
sdykyjkq,0.891,0.669,0.608,605,1418
yderjlbr,0.975,0.396,0.008,406,1438
wwjoilsb,0.005,0.346,0.791,123,658
owaiddvg,0.443,0.392,0.538,964,1749
rgauzrdp,0.384,0.382,0.285,204,1913
ebovpsmz,0.715,0.249,0.286,454,1272
zexfqxkp,0.218,0.756,0.368,327,1620
vhculcdq,0.727,0.776,0.026,126,1109
qxrmyqpm,0.987,0.451,0.584,506,1633
wbnlonxt,0.273,0.314,0.374,884,1190
stvwtzfd,0.083,0.516,0.642,145,808
ztvhqvhe,0.527,0.814,0.773,308,1890
ydpkarxx,0.313,0.975,0.212,377,1688
abmysnsz,0.886,0.744,0.396,294,943
ugroudvz,0.662,0.013,0.266,912,1261
apktakue,0.087,0.955,0.002,617,1223
gluvkvvo,0.923,0.526,0.14,402,1512
itasvtbj,0.895,0.445,0.522,134,787
psaulgqy,0.287,0.435,0.747,777,929
bjthyykr,0.355,0.076,0.341,117,1980
sexwxujd,0.299,0.706,0.709,122,1535
crlhnfdu,0.324,0.482,0.562,534,1187
ihcpxsda,0.346,0.42,0.699,549,1244
tsyvjdyg,0.386,0.488,0.532,347,1871
hlgkigox,0.896,0.285,0.877,302,963
uwhqctux,0.393,0.581,0.187,572,1989
ztbowazs,0.089,0.51,0.447,196,650
fsqlksgo,0.967,0.502,0.12,231,1121
xtpyabcw,0.025,0.968,0.239,674,1356
pbzudskp,0.662,0.942,0.902,967,1500
zphpghmd,0.136,0.515,0.002,202,1128
xcrzevzu,0.09,0.666,0.304,538,910
ouyyhpfi,0.762,0.938,0.27,719,1776
dbgjftjx,0.091,0.422,0.348,942,1310
jdohdsua,0.059,0.263,0.303,575,759
imltqwmi,0.959,0.528,0.443,342,461
pgbpmjbm,0.491,0.326,0.127,911,1323
reudxhgn,0.656,0.606,0.071,394,899
mqsspitn,0.561,0.887,0.723,592,1262
ylppvrvg,0.207,0.501,0.64,752,1132
uldeellc,0.302,0.682,0.47,123,707
dmqjjngs,0.031,0.691,0.712,3,699
kzhkiibi,0.068,0.084,0.913,234,583
mhqmgfwo,0.616,0.015,0.727,10,1859
coddvmdb,0.429,0.652,0.759,682,1067
oshgwxpi,0.587,0.967,0.323,860,1208
qonirtbp,0.254,0.857,0.782,330,1474
hmbzuuhq,0.254,0.815,0.116,454,696
lflwtacc,0.911,0.628,0.165,30,1101
qbblljfd,0.161,0.587,0.549,405,584
ewelttui,0.351,0.465,0.973,907,1442
fczymbpi,0.26,0.048,0.371,786,1042
rydrfrlr,0.634,0.969,0.859,946,1153
xbahyrbm,0.915,0.139,0.122,40,1359
ugelxnqk,0.746,0.57,0.487,213,1122
meyghoub,0.039,0.299,0.153,709,1273
pvmhwmuj,0.392,0.718,0.162,355,974
qeqqmcya,0.581,0.593,0.513,518,1728
ffmgfcbr,0.085,0.271,0.983,973,1810
rrpkappi,0.932,0.545,0.581,814,1531
wiltejqw,0.29,0.452,0.449,819,1248
gownverj,0.987,0.554,0.222,717,1394
gjyleauf,0.068,0.66,0.945,526,612
pqwiyjnh,0.697,0.014,0.066,412,1778
mcvpahps,0.148,0.205,0.399,239,1622
nlddocsl,0.786,0.89,0.217,990,1232
idanfufr,0.184,0.138,0.106,487,1340
mrujnodd,0.067,0.611,0.931,238,1989
eanjsyns,0.726,0.69,0.348,878,1343
kdhbhtjt,0.685,0.2,0.705,410,1189
fxhsdufa,0.674,0.396,0.323,149,321
iecdwwti,0.847,0.761,0.178,210,455
ykfxpjrk,0.631,0.036,0.779,970,1605
srirrdki,0.27,0.952,0.503,624,948
slqspaty,0.651,0.366,0.241,617,1634
dxedcqda,0.838,0.67,0.972,477,1165
etgkidyp,0.292,0.515,0.174,863,1685
vvfpstcg,0.76,0.371,0.295,775,1150
gbbsduko,0.168,0.278,0.54,601,1932
fzpzscta,0.352,0.081,0.193,184,1519
oiwtygly,0.699,0.933,0.161,156,594
zdscsafk,0.725,0.186,0.203,665,1767
cdawujde,0.404,0.844,0.179,632,960
rmxtrain,0.432,0.944,0.651,710,801
lsfnfpzr,0.522,0.22,0.501,81,1485
bbhxhflt,0.266,0.61,0.257,199,1316
lzfqilkx,0.647,0.926,0.76,448,1364
mhywatxg,0.426,0.691,0.724,397,442
piozfxpv,0.764,0.8,0.533,174,1366
efwvkjwj,0.779,0.829,0.103,78,498
zmxixevj,0.623,0.152,0.173,747,1689
ezmgpfre,0.796,0.773,0.875,383,929
ojesacsl,0.068,0.041,0.471,447,1148
qthpgpkq,0.808,0.447,0.65,674,1940
azjpmyep,0.229,0.058,0.463,840,1929
hbjrjoiy,0.236,0.074,0.403,48,1586
zbobyujz,0.6,0.763,0.82,480,1482
fwygkqil,0.63,0.111,0.243,933,1064
aqpuloay,0.209,0.854,0.172,992,1972
oxfazhqb,0.099,0.142,0.898,846,1865
dycxybjj,0.12,0.834,0.037,712,1778
arlmcsox,0.083,0.135,0.806,113,1244
nuwgawkr,0.468,0.023,0.412,306,754
moreersw,0.798,0.99,0.894,928,1888
cerbxjcf,0.766,0.169,0.966,110,1831
gjgrdfiv,0.006,0.097,0.065,308,640
fnhynfqh,0.764,0.485,0.987,188,1067
hmitynqp,0.997,0.32,0.869,696,1282
ciltiice,0.895,0.927,0.408,966,1221
sbwdqvsb,0.263,0.198,0.897,658,765
iymeiegl,0.118,0.721,0.165,834,1399
xysvojzi,0.577,0.506,0.05,911,1610
aabqngwq,0.127,0.433,0.87,937,1955
ymnnzrlo,0.586,0.726,0.333,181,543
tnlvslup,0.883,0.985,0.321,214,1763
cixyzklt,0.393,0.041,0.641,286,317
ktgtzeby,0.367,0.34,0.629,15,1667
gzshqoca,0.76,0.71,0.104,114,1437
rmbmykyp,0.048,0.037,0.326,459,999
ndrxmeeo,0.997,0.892,0.511,840,1799
zoxupwlu,0.375,0.977,0.879,244,1580
lfjkzlqk,0.17,0.848,0.725,561,594
gsjtdnvh,0.54,0.211,0.332,989,1723
dbsxsflw,0.514,0.614,0.527,882,1499
fyoqlgon,0.886,0.325,0.08,867,1467
tljmtobk,0.689,0.769,0.926,128,199
ltqiwhdg,0.417,0.896,0.527,345,1892
nzgeicuc,0.737,0.4,0.661,145,786
qampdvpm,0.879,0.238,0.023,460,1624
lpfibhfn,0.331,0.138,0.345,412,1311
gfyxxfhr,0.24,0.896,0.515,492,581
dntdlaaf,0.21,0.863,0.661,576,1563
fqhpanie,0.78,0.879,0.512,381,1469
mekcssqa,0.266,0.036,0.813,163,329
kzzjeyil,0.337,0.739,0.487,456,1357
wxcflbtn,0.276,0.992,0.141,529,999
mjxzjqey,0.597,0.06,0.423,441,1942
wqfioygt,0.519,0.7,0.131,202,1745
