name,x,y,time_in,time_out
anebputw,0.065,0.843,592,869
tpxkhymm,0.96,0.649,139,949
tueicxxw,0.157,0.583,164,1189
afmdvrmh,0.088,0.92,45,428
ksxnkjnz,0.298,0.476,234,435
jouwifuh,0.025,0.003,163,1219
dtzswrwn,0.935,0.183,688,1471
stuxoers,0.715,0.611,193,1775
gmyzuehw,0.559,0.145,947,1376
pyojflab,0.087,0.24,69,1641
zyvbvmzp,0.969,0.883,918,1077
ejrdemjt,0.037,0.984,487,1651
ppfeksef,0.572,0.081,912,1251
btxlcmcl,0.943,0.99,732,1777
yljamejy,0.573,0.411,399,693
ecqbvklb,0.154,0.181,762,1356
tzggbnya,0.479,0.472,216,1178
ufilfmlj,0.033,0.973,536,846
gwqlkffw,0.407,0.2,85,104
xrgfypug,0.251,0.803,791,1119
srhhzydx,0.983,0.589,795,1464
gccoaoqd,0.601,0.568,861,1549
igwcvtgn,0.791,0.063,632,889
fyvqkdid,0.69,0.73,86,569
ulrlsyzl,0.405,0.893,281,411
zjafthty,0.237,0.976,333,1008
lpkldiwt,0.474,0.405,36,1757
joviuqlj,0.99,0.118,532,695
clnezngn,0.575,0.765,630,1467
narpimwj,0.332,0.928,701,1090
ilpebbjf,0.873,0.507,610,1479
tdlxbszu,0.233,0.235,954,1090
fhbzluwt,0.721,0.872,910,1606
zsuzyguv,0.95,0.964,673,1466
lduhatct,0.14,0.692,723,1493
qvkbpqnv,0.81,0.454,915,1780
agepscoh,0.24,0.94,616,1328
zcchmvvk,0.155,0.652,904,1687
hypaxslh,0.305,0.275,613,1559
hfjpwaqk,0.095,0.615,949,1546
qnncefmu,0.41,0.217,501,779
eknkhumd,0.218,0.02,20,1585
scvfadbg,0.217,0.958,694,1541
qefdkwoy,0.51,0.319,435,1782
cinktlgd,0.41,0.472,179,688
ukxwsycj,0.779,0.917,157,925
jeywpbze,0.878,0.824,417,1028
schjyxhc,0.566,0.645,585,1810
sdtseqhj,0.712,0.67,754,1375
bxeeazjc,0.797,0.75,840,1935
zblfuxgx,0.75,0.886,293,1170
djxlvoek,0.575,0.756,593,1148
jranjivt,0.409,0.879,291,1189
xipkkdav,0.271,0.155,51,675
uofrtxxq,0.74,0.328,448,1451
krnqkbmi,0.16,0.507,591,1577
sphyumxr,0.74,0.992,991,1684
lszegnwy,0.411,0.646,184,1214
tepjnjbg,0.543,0.714,364,1481
lznisdri,0.683,0.182,110,276
sllbpboa,0.594,0.803,589,690
aznultvn,0.478,0.242,845,1571
xmkjnhwk,0.429,0.512,573,1634
icdemkjt,0.575,0.037,994,1725
gdahwhwh,0.54,0.453,677,1931
smznrfcb,0.29,0.816,382,699
xhcqjrbf,0.693,0.716,975,1666
kdtcjibj,0.859,0.578,577,1261
adlxtopp,0.146,0.899,599,1504
gxrylffd,0.599,0.892,620,1495
zmjkcfyx,0.106,0.954,614,1383
lkwqrxvx,0.047,0.117,116,1176
sagqqgfi,0.655,0.964,874,1202
nifffpmb,0.538,0.741,613,1305
wwqjlaad,0.889,0.151,443,1048
jpnnfwnd,0.196,0.737,877,1990
jjzmyzlz,0.108,0.834,275,1695
fefqkfhs,0.699,0.999,519,1490
omfitbyl,0.302,0.87,150,1735
igrskdtk,0.75,0.768,7,1817
shgsxwbd,0.073,0.976,576,1886
eaqrnmeg,0.764,0.976,710,1639
kupyuwrg,0.642,0.821,809,828
qvlthttl,0.916,0.205,669,705
ikdpxrhw,0.523,0.264,530,1249
efkojtry,0.187,0.77,196,857
jztcixfg,0.471,0.963,83,1104
ksurmsep,0.216,0.194,911,1622
hcptqjjp,0.584,0.506,258,1067
gwrtbqdh,0.056,0.821,427,572
kigtnqbi,0.974,0.986,362,642
xzmcvefh,0.68,0.657,437,692
gfizzufn,0.08,0.548,424,1389
uuiqzaqc,0.758,0.392,691,1258
qnwhdxdv,0.141,0.278,946,1335
fvqfkkhg,0.265,0.234,765,1309
eybrxqqn,0.491,0.595,448,1767
xhbsegeh,0.838,0.472,622,1183
sphukjhp,0.374,0.588,409,1078
wqzqwtqw,0.091,0.325,15,821
wnceblrs,0.922,0.205,883,1932
ezhbcops,0.057,0.78,34,1010
rwfrslrh,0.626,0.064,195,732
nljqjwth,0.483,0.366,955,1806
nedyhjhn,0.89,0.042,936,1699
dxtalajy,0.484,0.732,838,918
fzltgbac,0.597,0.847,760,1243
xmrfmlti,0.296,0.798,640,1739
qaakzwco,0.352,0.73,88,1414
wfhneniz,0.262,0.717,159,457
gbrbvrol,0.537,0.063,579,705
wirpjuio,0.713,0.475,126,1929
ygfcypqp,0.72,0.731,11,1498
zkwdzmle,0.347,0.646,973,1157
nwulvkyb,0.006,0.631,46,423
qyzlkiuo,0.665,0.431,863,1912
bilepcoe,0.681,0.315,728,1673
qxeggawm,0.14,0.661,557,1044
zcupmjku,0.901,0.841,268,1815
eywwowkr,0.627,0.762,720,1584
inhppghb,0.525,0.357,603,715
pmaqixqe,0.905,0.109,120,439
wskvvgbd,0.887,0.457,345,756
vqrcqcun,0.293,0.352,942,985
nmxadusj,0.792,0.405,880,1413
xklcvnuy,0.164,0.386,230,1729
egewbhke,0.665,0.689,369,693
tcqakgvn,0.478,0.814,476,511
xjemeeck,0.858,0.8,827,1028
txomlrjj,0.649,0.606,617,1269
ofmiwixf,0.937,0.574,554,939
npukirrs,0.464,0.759,569,1618
ovsgcilh,0.065,0.885,862,1533
lxksktgo,0.816,0.042,549,1476
nchrgjaa,0.567,0.398,128,935
mfbecgir,0.664,0.159,70,1879
lqsgkfda,0.208,0.778,284,1369
leiywjyt,0.654,0.758,418,1625
ylplljvu,0.458,0.074,599,825
hkyezlgm,0.112,0.924,70,112
fujcfxfi,0.778,0.682,251,1808
ucdmvysj,0.463,0.791,418,1673
llneefse,0.017,0.376,245,1641
fxbgghyi,0.724,0.85,818,1418
owapzyop,0.966,0.357,738,1459
kngmvnbe,0.159,0.826,87,892
ghverpni,0.997,0.903,622,831
kvjzktve,0.866,0.585,376,839
nqrzlsrb,0.518,0.134,946,1189
sofeimeq,0.937,0.523,668,813
qovrakfd,0.597,0.07,207,569
lifzyfmx,0.394,0.437,301,1904
vlljrfjx,0.15,0.639,996,1553
spjsfuif,0.99,0.061,810,1309
sbihismv,0.992,0.67,403,1535
usdnlusl,0.101,0.927,923,1721
tifuzkuj,0.517,0.08,689,845
ihqcxlyh,0.842,0.834,230,863
mrtsssro,0.491,0.61,969,1392
cxehbibz,0.138,0.173,35,912
omhubews,0.864,0.349,814,1166
itvvrdsu,0.775,0.183,811,1797
sxxnkujt,0.931,0.545,327,1185
esdbafim,0.64,0.364,260,560
wwrebanr,0.142,0.624,202,1112
qokvehyg,0.618,0.58,965,1215
zbqzzmsg,0.835,0.206,648,1810
kerlulew,0.128,0.384,318,1265
npbnawiy,0.802,0.839,320,962
nhwhpcnr,0.208,0.733,576,1540
iryqcsao,0.221,0.78,439,1596
wpejdxka,0.391,0.257,335,876
nchnfyju,0.652,0.395,159,360
dwcdomho,0.065,0.919,758,1946
vlezvxjn,0.504,0.406,818,1229
upvjsxnc,0.223,0.147,625,1277
wtbayvuh,0.95,0.849,706,870
kdtragnh,0.578,0.736,993,1601
unsvhzqx,0.06,0.103,872,1221
wxpzcoeo,0.886,0.076,149,445
ttbatcgd,0.734,0.773,802,894
wamvgnoo,0.05,0.788,282,1168
jhqfzmhk,0.157,0.535,26,619
myeltjwm,0.249,0.052,601,1360
nlfhyicd,0.526,0.285,394,911
hdsjwgsb,0.295,0.985,424,1291
mamjbcux,0.717,0.927,797,986
pivmscwc,0.535,0.463,713,1705
zqgbkupd,0.523,0.937,190,1329
mtxpnijd,0.596,0.881,842,1732
ayffyjov,0.743,0.622,533,1042
xzwkdypb,0.247,0.458,324,1368
gtegyrgg,0.156,0.668,652,1276
lvvkqjtz,0.084,0.462,772,1664
lcvfdgsr,0.304,0.735,861,1853
wczmscpj,0.968,0.372,42,1635
uhzatkop,0.243,0.431,853,1210
ilzmazej,0.724,0.804,119,634
evmfwmzy,0.223,0.937,754,1123
jtzedspi,0.416,0.684,674,1323
anhfqltd,0.803,0.072,312,1018
sdqxbjyw,0.251,0.417,102,1666
pbthzexq,0.829,0.032,306,1406
gaqyfgmp,0.167,0.787,65,537
amojvahw,0.293,0.834,335,1939
lgzwsrpr,0.038,0.817,215,1689
smzenthd,0.638,0.569,653,1138
etzvysqa,0.6,0.641,50,222
dyahsfck,0.941,0.481,775,1794
klqsmmrr,0.748,0.418,635,1627
dqgzdapv,0.832,0.341,517,950
vzakfknn,0.038,0.608,278,953
qdmywolx,0.287,0.19,35,604
erwxkhag,0.842,0.757,660,1266
cnjzjnsm,0.86,0.532,385,927
uhumovce,0.293,0.659,72,1832
kecqwurq,0.229,0.086,822,1516
mckujzoe,0.11,0.513,157,610
tjusnopr,0.581,0.114,538,1960
cirniygd,0.718,0.969,943,1106
wfirbsfp,0.885,0.067,353,1078
tbnfntbz,0.123,0.188,652,1659
mfajrbxp,0.608,0.763,363,1044
xfrilijl,0.141,0.613,207,1260
miwqvjht,0.476,0.64,372,440
lpobguud,0.61,0.776,24,984
cfxwkvdd,0.929,0.688,246,551
gevezbiy,0.836,0.073,524,798
rfyvsylv,0.398,0.06,829,1487
vargrdqg,0.446,0.703,539,582
lypdybih,0.072,0.881,173,1454
bmurwoss,0.097,0.45,45,499
yymumidv,0.598,0.57,994,1130
gmrojqqs,0.701,0.243,440,693
arasmcfs,0.185,0.203,125,185
zezybumt,0.617,0.78,49,1107
tnowwwno,0.149,0.994,854,1775
hrosulxv,0.064,0.906,734,1637
ktrrvdij,0.799,0.656,16,934
slkxonwg,0.984,0.58,174,1145
eezlipfu,0.246,0.019,442,564
vzflbeyy,0.009,0.189,232,1644
bmmjsajy,0.048,0.074,651,1473
bqxpujaq,0.478,0.447,844,1304
rffefcfi,0.138,0.15,717,1157
mtfpkjym,0.893,0.3,161,1909
nwpvdbdg,0.593,0.379,599,1537
xininkzg,0.026,0.612,167,1453
zqgabuzi,0.797,0.981,791,1653
fnefymll,0.414,0.869,107,1538
fwjkhheg,0.672,0.924,66,697
zpgedmxc,0.051,0.01,294,1139
koxcgztr,0.271,0.73,768,1437
efewhhlh,0.799,0.975,635,1262
wpjaeogf,0.982,0.522,695,908
wyukhdor,0.09,0.651,647,1645
llpikenr,0.322,0.724,328,943
cjyxsqwu,0.786,0.305,371,1718
prhwxzho,0.351,0.751,874,1538
qblowlik,0.938,0.411,515,1883
gomzsjyt,0.574,0.125,445,1314
brntlpsd,0.612,0.899,144,1072
edffggqr,0.824,0.623,5,1197
ixzkavgj,0.213,0.257,735,937
fldjpzvo,0.041,0.921,417,1618
gfxpdbzy,0.491,0.019,938,1778
xujgiiby,0.582,0.053,761,1733
csriscfb,0.961,0.099,147,1932
jhhihscz,0.098,0.164,521,1241
fyppuuyp,0.756,0.487,975,1445
mxqsyazg,0.065,0.482,560,756
xhtbxteh,0.783,0.866,485,1868
vplueood,0.977,0.237,263,780
wxswjbua,0.54,0.761,982,1997
cqrivmfa,0.264,0.866,290,645
kdxroerv,0.817,0.448,417,1438
qqnvkdpw,0.43,0.19,204,755
avnfzduo,0.625,0.866,497,1210
nlokbrkv,0.58,0.218,340,793
jiceblhr,0.912,0.706,974,1285
yqfzrjsc,0.742,0.376,700,927
idjqqajz,0.012,0.98,341,1930
paihcfhj,0.279,0.999,702,1254
ljrgimwj,0.647,0.663,709,1115
ravwtuft,0.632,0.249,204,1157
silskbgi,0.81,0.352,996,1500
syrwvdcj,0.312,0.146,504,1988
yjkbgmed,0.036,0.379,748,1677
aayfappf,0.753,0.519,896,1691
gkxpbcsn,0.187,0.605,775,935
ylgthons,0.767,0.156,659,1882
fvbpyzha,0.007,0.03,211,1774
ydwqbkyg,0.094,0.687,45,1559
shmitayy,0.123,0.085,22,994
rhvuyadf,0.417,0.375,894,1728
driwyhbe,0.849,0.985,508,1119
zbrfjtsh,0.26,0.162,972,1207
pvfqyahe,0.268,0.607,47,1874
ynwvkwis,0.572,0.9,818,915
mgagfjzo,0.614,0.641,826,1696
jzvnxkjg,0.89,0.092,852,1966
kejkhwls,0.153,0.864,219,754
lrrlfznd,0.265,0.526,652,1670
gwfzcwgo,0.622,0.052,283,1985
pxxbrdgx,0.007,0.219,189,1986
nrwlymmz,0.504,0.707,987,1797
ezegzmpd,0.462,0.975,583,1435
yoflxiyh,0.153,0.472,316,762
hfrdfpyx,0.077,0.276,353,1122
uasrvmda,0.01,0.366,813,1137
unhuynuu,0.499,0.512,498,1909
oklazwgm,0.215,0.495,698,1986
ygzuwoel,0.853,0.837,518,599
phvtvhte,0.487,0.319,295,429
hrawtpbq,0.948,0.768,590,1961
wbtkngkk,0.526,0.065,893,1428
wgvwepmk,0.026,0.097,189,1180
izvhqnwh,0.511,0.459,208,1978
tsrdnfgj,0.419,0.346,729,1150
bbkkgdnf,0.546,0.772,746,892
wzzblliv,0.357,0.76,743,1896
ckggdusq,0.954,0.774,479,1992
dhreetby,0.304,0.038,549,1262
mnmayoth,0.74,0.81,174,1872
glpqbbnf,0.767,0.923,159,744
iayqnjbw,0.627,0.153,394,759
kbxknuvu,0.713,0.555,508,1021
wajcenlu,0.92,0.021,758,1214
siiidxeg,0.795,0.254,51,1782
sojrbmom,0.855,0.925,912,1446
cezhsssb,0.234,0.076,163,1752
tdzythds,0.128,0.862,699,1574
uqwjenhd,0.185,0.421,942,1706
jnbrrnkm,0.026,0.328,482,1491
salaplhj,0.924,0.126,162,258
fsszwqdb,0.284,0.106,558,1775
mjmhjvjk,0.435,0.308,799,907
ocqgfecy,0.231,0.278,513,1816
uvhufsur,0.928,0.01,48,1385
cckhlkkf,0.436,0.976,566,699
hijlwmyy,0.465,0.952,290,1846
tqvtpcap,0.996,0.773,239,1663
qwplrnkr,0.055,0.731,772,1297
ctrsehyx,0.147,0.745,350,1378
ohwlorgd,0.256,0.384,847,1264
zlxbzxgg,0.86,0.95,804,1904
ndomvpws,0.073,0.472,456,1427
wkyngbrl,0.139,0.719,498,1317
qjdomgjl,0.816,0.898,587,588
wqwmznqd,0.004,0.946,156,881
uzbggqjg,0.778,0.533,435,1141
kxlktvur,0.685,0.618,49,1658
rslghbdt,0.313,0.186,136,782
lvrjgxgw,0.023,0.577,189,1039
nxhzfnrm,0.476,0.057,158,424
gblwzvid,0.625,0.606,790,1182
evcvhwlb,0.312,0.097,859,969
ewrzaavn,0.173,0.688,565,1501
yinpmsry,0.431,0.339,468,969
pwlrcopc,0.359,0.736,324,682
idwbmixb,0.007,0.935,357,1929
oxhktlsr,0.198,0.942,676,1274
ugqggwvt,0.764,0.285,847,910
lchzofqi,0.425,0.141,404,1725
klbvunkz,0.844,0.171,341,711
jkoqejup,0.351,0.315,386,745
cvyqzaha,0.941,0.68,269,1920
paunkkyb,0.954,0.965,359,1112
ymozqeht,0.564,0.825,390,929
xjyathah,0.409,0.995,409,1481
cnglgcgp,0.252,0.31,221,1428
ezswnqsq,0.061,0.805,329,1878
ltcwiehm,0.867,0.022,315,1728
pksjwelj,0.314,0.105,317,328
xmmylzxe,0.565,0.683,528,966
xsttlxzz,0.284,0.469,214,759
sjifliop,0.441,0.36,558,1654
sftlrxpu,0.16,0.419,414,545
jttowewk,0.434,0.374,584,723
duesvgmz,0.776,0.493,662,1394
olnmxsgl,0.585,0.709,467,1349
ihxlvwqh,0.365,0.348,891,904
jutqvbyv,0.337,0.414,217,416
ibekgonu,0.273,0.849,895,1774
yzazyimp,0.714,0.459,851,1550
vjcbszth,0.986,0.031,879,1894
preabgif,0.945,0.489,196,1292
wlivuurj,0.079,0.982,595,1512
dslphaxz,0.313,0.655,84,1883
fxdcytmc,0.277,0.507,501,1739
prpflqyv,0.401,0.506,161,1970
xacgxvzh,0.059,0.218,334,795
ozuxglvs,0.563,0.018,449,1663
yufzzhqv,0.218,0.634,861,969
qladczgw,0.007,0.137,804,1594
uaixmnrl,0.194,0.037,985,1702
tvdfmoal,0.315,0.417,976,1277
ecqxhcbr,0.782,0.708,638,1611
iuprudwq,0.391,0.781,229,1928
zrstegkn,0.132,0.33,31,615
fyduwjgs,0.267,0.282,193,598
xbsshmiv,0.468,0.723,538,608
kjpvetie,0.0,0.32,899,909
coycbtdz,0.06,0.94,592,880
bsgzherb,0.644,0.421,362,1681
caevcjqo,0.145,0.953,109,1959
eyytcbmu,0.234,0.338,534,1779
tbekjgrh,0.466,0.699,406,1255
htkmnnip,0.688,0.64,258,732
kryukhyt,0.438,0.545,264,1534
tmdglmzm,0.643,0.352,486,1633
sydjzuep,0.501,0.998,323,1889
pfhhnfvn,0.905,0.145,340,1221
avokspdd,0.315,0.571,895,1558
jqapfdvd,0.598,0.434,666,998
rutqxgrg,0.597,0.287,45,1129
zsyovubj,0.343,0.148,14,1405
pvkjjmty,0.224,0.303,962,1551
ozglbxpr,0.991,0.136,355,938
lweufhiq,0.169,0.003,840,1287
lyeulmgn,0.52,0.4,433,504
emlmmwij,0.369,0.902,738,1551
yxtkzwch,0.319,0.195,566,1983
vuqblfru,0.903,0.927,242,868
pufukrty,0.75,0.648,388,599
pxhrplvm,0.628,0.369,639,896
rsjuaffu,0.605,0.071,548,905
rlhoadvz,0.739,0.391,726,1741
mjopijii,0.624,0.188,329,768
bwhkyuze,0.85,0.4,274,412
rhxlpwdr,0.124,0.465,844,920
kqmsettj,0.158,0.351,28,1362
epttmvaq,0.966,0.915,863,1374
tmffgsup,0.199,0.935,219,940
sgsmkpuj,0.81,0.521,4,576
cpjgjgvf,0.098,0.89,235,1458
qvadqtry,0.12,0.901,801,892
npxiircg,0.388,0.916,17,1288
tswjdxsz,0.839,0.505,238,1830
jivpdjbe,0.551,0.993,360,1983
xflnmecb,0.088,0.074,438,805
nrxrutaj,0.986,0.361,409,1805
edyfcaqo,0.853,0.834,7,1456
ladkcrqb,0.023,0.787,568,1011
tizlmkyv,0.238,0.706,305,1894
vggkwxsv,0.039,0.427,475,1233
rvvuwpyb,0.077,0.556,921,1288
kbffjviy,0.088,0.56,706,886
dqfksmay,0.255,0.149,81,1840
eduvsuln,0.236,0.56,8,391
qtihsqnh,0.418,0.888,404,1815
newqnxiv,0.87,0.927,2,1678
