name,x,y,z,time_in,time_out
wystmcuz,0.041999999999999954,0.808,0.34199999999999997,873,1252
kgttrysp,0.43600000000000005,0.714,0.43600000000000005,87,372
yjkwqfgz,0.341,0.809,0.509,522,601
rdhovjpy,0.262,0.262,0.888,967,1011
rnclfhqc,0.363,0.787,0.06299999999999997,991,1402
sqnuixxm,0.429,0.42099999999999993,0.42099999999999993,653,1242
zfluvizz,0.43800000000000006,0.7380000000000001,0.412,204,1744
lmbugksl,1.0,0.714,0.136,926,1045
txyoynvy,0.428,0.7220000000000001,0.7220000000000001,749,1924
lyugdkpx,0.9740000000000001,0.674,0.176,192,1326
ivqmevxa,0.253,0.253,0.897,447,1274
gskbqldu,0.18999999999999997,0.66,0.18999999999999997,481,1837
fnzodpll,0.377,0.07699999999999999,0.773,41,1918
sjehenmh,0.758,0.392,0.092,724,1255
glgyvgcz,0.824,1.0,0.026,906,1904
qemlrqqa,0.032,0.818,1,246,1570
yoxdwmby,0.793,0.793,0.357,971,1574
hnayybcg,1.0,0.002,0.848,537,579
llpndrnl,0.072,1.0,1,397,1675
yckuccqn,0.914,0.614,0.236,947,1592
zgshyfyx,0.002,0.848,1,305,658
tpyuapff,0.43899999999999995,0.43899999999999995,0.411,698,1790
tdcutzbq,0.8150000000000001,0.8150000000000001,0.335,1000,1794
opgvnvyf,1.0,0.101,1.0,592,1513
tissufub,0.605,0.545,0.545,140,335
wubkxywk,0.268,0.882,0,469,1091
vsxdbhss,0.041999999999999954,0.808,0.041999999999999954,577,1391
kpsuntsu,0.504,0.804,0.346,827,1407
rmeyqptu,0.925,0,0,690,1471
qqscfmsw,0.948,0.20200000000000004,0.20200000000000004,564,1302
qccfqjmk,0.764,0.086,0.386,155,1989
cdcfsbps,0.207,0.643,0.643,75,182
knuoeiwv,0.818,0.032,0.818,824,888
xjcubhcj,0.10400000000000001,0.10400000000000001,0.746,772,1897
giloikbd,0.502,0.348,0.502,323,413
riqdeqan,0.15400000000000005,0.15400000000000005,0.696,724,845
hfeqoubx,0.878,0,0,476,912
ljybpylq,0.7400000000000001,0.7400000000000001,0.41,628,1377
rkwgqgnr,0.031000000000000055,0.33100000000000007,0.819,430,1606
zccxtiap,0.19500000000000003,0.955,0.19500000000000003,276,1445
hlyrepsq,0.256,0.894,0.256,614,778
qhsuptbh,0.9660000000000001,0.184,0.9660000000000001,656,741
fvrhmchb,0.606,0.906,0.244,571,908
jlzakjyq,0.15800000000000006,0.692,0.4580000000000001,617,632
xasljufd,0,0,0.994,338,1091
ymapibjl,0.494,0.656,0.656,657,805
jjvhwakg,0.5599999999999999,0.86,0.29,742,824
vuxtmclr,0.827,0.023,1.0,760,1249
twgpifkw,0.47,0.68,0.68,26,1389
cdrkeygo,0.19500000000000003,0.955,0,979,1466
bstcvuvb,0.008000000000000035,0.842,0.30800000000000005,764,1146
iznqwqqo,0.307,0.8430000000000001,0.543,730,1650
ctqkclkh,0.5279999999999999,0.322,0.828,891,1672
ywgvttjp,0.347,0.803,0.347,583,1224
vaktvftx,0.241,0.909,0.609,120,296
glrfztvc,0.733,1.0,0.117,632,872
qbvbmiqt,0.2879999999999999,0.562,0.2879999999999999,436,1027
qbfugbcc,0.747,0.103,0.747,377,1243
luhtypdm,0.309,0.8410000000000001,0.8410000000000001,73,1430
nccjrshp,0.216,0.934,0.934,931,1107
rawvdmoi,0.5419999999999999,0.308,0.5419999999999999,980,1219
qqxrrhgv,0.623,0.227,0.527,709,1340
mdggzqco,0.327,0.8230000000000001,0.523,148,1775
xtfvhhjn,0.587,0.5630000000000001,0.5630000000000001,922,1606
nrfggzqk,0.193,0.957,0.6569999999999999,713,1704
rsxrvnnd,0,0.985,0.165,642,1144
klofozgv,0.4570000000000001,0.15700000000000006,0.693,406,1590
ylbajdgl,0.628,0.628,0.222,880,1702
cgnjhowv,0.663,0.487,0.663,840,1825
roskjrzz,0.277,0.573,0.277,841,870
awytgnst,0.41100000000000003,0.11100000000000002,0.739,65,493
yklsktck,0.736,0.114,0.736,631,1158
snzlinlz,0.463,0.3869999999999999,0.3869999999999999,810,977
lnsuobqk,1.0,1.0,0.118,227,261
yfnpbbwd,1.0,0.044,1.0,282,1151
imwhqfcg,0.359,0.791,0.791,526,659
wjnshbik,0,0,0.958,486,1311
tujlzyxu,0.30200000000000005,0.848,0.0020000000000000295,12,630
fhgxfafv,0.334,0.5159999999999999,0.5159999999999999,879,1399
dbaeirad,0.004000000000000031,0.846,0.004000000000000031,275,881
zbkftvka,0.848,0.002,0.848,782,1293
ueqijrbe,0.139,1.0,0.711,288,879
lkinbfnb,0.626,0.524,0.524,582,1123
gilyuqrl,0.986,0.164,0,1,372
umpwgdbo,0.898,0.252,0.598,179,287
ntybnahv,0.42800000000000005,0.12800000000000003,0.722,31,1822
hknisuec,0.11000000000000001,0.74,0.41000000000000003,168,419
vqngulnn,0.49,0.66,0.66,771,1464
rfnczdmj,0.20199999999999999,0.502,0.648,105,217
jbeyvzou,0.7859999999999999,0.7859999999999999,0.064,614,1081
pssiifck,0.254,0,0.896,243,1871
pizpvprm,0.617,0.617,0.533,420,484
nqbmlwjy,0,0.17600000000000002,0.974,820,1657
dsfeywqx,0.301,0.8490000000000001,0.8490000000000001,556,1814
zfeuhans,0.633,0.517,0.633,126,1933
ytzjcpnc,0.493,0.657,0.357,181,1569
ifrsdmws,0.43700000000000006,0.713,0.43700000000000006,3,1371
ublkwzzo,0.585,0.585,0.265,39,705
mvllfbhv,0.567,0.28300000000000003,0.28300000000000003,239,1752
arwbnklw,0,0.982,0.168,373,1401
ueaylbdr,0.825,0.02500000000000005,0.02500000000000005,878,978
ugiluufy,0.838,0.31200000000000006,0.31200000000000006,763,1924
gcfakfsj,0.3989999999999999,0.451,0.3989999999999999,80,251
ylbtjipz,0.605,0.245,0.905,558,729
xzpbvtdi,0.28,0.28,0.57,694,1004
ulkagaqb,0.471,0.679,0.17099999999999996,649,1911
yeqrgtye,0.589,0.2889999999999999,0.561,685,713
jmkcegsw,0.675,0.17499999999999996,0.17499999999999996,517,1676
wxdjyqql,0.23600000000000002,0.536,0.614,425,1920
ggmbjwff,0.46799999999999997,0.46799999999999997,0.682,410,659
ghnelzbq,0.12000000000000002,0.42000000000000004,0.73,524,709
oqxpgjmc,0.661,0.489,0.489,22,150
qjclmnhs,0.839,0.011000000000000038,0.31100000000000005,911,1983
chsjistu,0.356,0.494,0.356,159,575
fvvjkcga,0.44500000000000006,0.44500000000000006,0.705,247,1529
unzdwsmu,0.545,0.605,0.24500000000000002,213,482
qaxugtev,0.18900000000000003,0.18900000000000003,0.961,9,1447
nmknvzzf,0.871,0.279,0.871,70,1478
xksqkuya,0.653,0.497,0.653,491,761
skypgdjj,0.19000000000000003,0.19000000000000003,0.96,124,491
vdafuhvr,0.953,0.953,0.197,526,1418
kgmifnac,0.828,0.828,0.022,424,1034
snvtjzyf,0.5700000000000001,0.58,0.27,48,1002
vzrucidl,0.21499999999999994,0.21499999999999994,0.935,716,1602
yijgvrap,0.544,0.606,0.24400000000000002,252,1522
cvzzcwne,0.956,0,0,917,1514
kmdjowjm,0.216,0.934,0.934,269,1986
ngvmxnon,0.5750000000000001,0.5750000000000001,0.575,737,1622
tgvivltj,0.942,0,0.20800000000000005,308,1995
pgmossxk,1.0,0.774,0.076,39,1194
nkjthfib,0.947,0,0,520,1252
zsrmnsgv,0.396,0.396,0.754,1000,1247
debfphis,0.503,0.647,0.647,815,1452
jcferybv,0.44799999999999995,0.748,0.402,543,837
jvemwmqt,1.0,0.146,0.704,164,1720
utzcbccg,0.64,0.21,0.9400000000000001,218,1254
dlulaqmm,0.31500000000000006,0.015000000000000041,0.835,240,375
mbtjvqnl,0.32899999999999996,0.521,0.32899999999999996,642,1870
vadutosa,0.925,0.22499999999999995,0.22499999999999995,713,1736
dughgrkr,0.715,0.135,1.0,567,1094
qomhlzqo,0.872,0.278,0.278,459,536
acyycosc,0.881,0.881,0.269,996,1575
uchbrwtr,0,0,0.883,96,478
ucmyvuzz,0.173,0.977,0.977,166,1626
rlgqallc,0.361,0.789,0.06099999999999997,610,1814
hhipcaxs,0.027000000000000052,0.823,0.027000000000000052,359,536
ftvwqoaw,1.0,0.033,0.817,123,1219
texcldje,0.024,0.826,1,814,1055
yxhmtmug,0.91,0.23999999999999996,0.23999999999999996,752,764
qfphbdku,0.778,0.372,0.372,751,1008
bucjuyfj,1.0,1.0,0.081,531,973
jznnokcf,0.899,0.899,0.251,374,1352
emvzfxin,0.091,0.759,0.091,471,838
qsunlqyl,0.15000000000000005,0.15000000000000005,0.7,769,1303
ocefkgrq,0.15000000000000005,0.15000000000000005,0.7,992,1953
vsdgnblk,0.20900000000000005,0.941,0,826,1066
tevhjjdl,0.633,0.217,0.933,426,820
lqfpwlay,0.603,0.247,0.903,62,745
ljekafnz,0.45399999999999996,0.754,0.396,789,1357
cwxiuoig,0.902,0.248,0.602,527,1165
vxaeuotm,0.192,0.658,0.9580000000000001,280,766
ljcbjdfk,0.242,0.908,0.908,647,1319
bdncniiz,0.622,0.228,0.922,23,1674
zjlgsaxw,0.375,0.475,0.675,655,1808
xuflcpsf,0.674,0.17599999999999996,0.17599999999999996,693,1001
ftjxwbli,0.255,0.255,0.595,678,1549
hkhbvooi,0.5790000000000001,0.279,0.571,900,1781
nqjrqqbo,0.33899999999999997,0.811,0.03899999999999995,355,1032
wxihwqoz,0.3929999999999999,0.457,0.3929999999999999,942,1874
arwjrwhb,0.41400000000000003,0.436,0.7140000000000001,537,690
boaxtdbg,0.8290000000000001,0.529,0.321,184,1407
fvyfxblr,0.9740000000000001,0.674,0.176,95,1334
igklnxbd,0.13200000000000003,0.718,0.43200000000000005,344,757
kgmlvzcr,0.912,0.238,0.912,73,292
tyrinjwv,0.595,0.595,0.555,364,409
opsolmme,0,0.892,0.258,363,680
dhlknmnq,0,0.24499999999999997,0.905,237,616
athhsdmi,0.278,0.572,0.872,926,1505
gpewibpj,0.385,0.385,0.765,844,1784
plwrdzrf,0.6769999999999999,0.173,0.6769999999999999,511,1985
nybjpban,0.655,0.495,0.19499999999999998,581,602
yrgacmsr,0.748,0.102,1.0,763,1940
wfjcxhqu,0.018000000000000044,0.31800000000000006,0.832,599,1298
xlejfibp,0.57,0.5800000000000001,0.5800000000000001,480,591
dscycirc,0.594,0.556,0.594,531,1304
cuzysvsi,0,0.17200000000000001,0.978,454,765
xttsebkx,0.28300000000000003,0.28300000000000003,0.567,169,1965
yvfhovek,0.361,0.489,0.789,18,1792
fubutjyk,0.623,0.527,0.623,236,1745
ullabdsd,0.405,0.44499999999999995,0.44499999999999995,198,1802
eshrhlrq,0.354,0.796,0.796,771,1405
hlsjaogx,0.21799999999999994,0.21799999999999994,0.932,579,1187
nrvcplgl,0.6869999999999999,0.463,0.3869999999999999,278,1596
syaszjkw,0.488,0.662,0.18799999999999997,362,1608
cnijpqhe,1.0,0.075,0.775,921,1466
jkdjxnfu,0.819,0.33100000000000007,0.33100000000000007,237,1778
tdwstqyl,0,0.896,0,268,1529
zsjxbmrb,0.394,0.756,0.45599999999999996,650,1607
iqwiknki,0.453,0.697,0.3969999999999999,756,1378
kzwvwwdk,0.268,0.268,0.582,125,258
pgmgbjfn,0.808,0.041999999999999954,0.34199999999999997,364,1845
vinnohef,0.632,0.218,0.932,252,1493
rmmozibp,0.905,0.245,0.605,250,481
hkbxvdwp,0,0.158,0.992,42,1637
zjtvlimq,0.102,0.748,0.748,974,1771
ytjlsboe,0.265,0.885,0.885,165,1323
osyahuwx,0,0.869,0.281,68,1292
xbfxxxhk,0.04,1.0,1,357,650
engcvkyz,0.632,0.218,0.518,31,341
tqnnspwx,0.849,0.849,0.001,921,973
lwjdedoc,0.089,1.0,1,850,1283
xdcyasmw,0.32399999999999995,0.526,0.32399999999999995,385,804
rxyojdea,0.8049999999999999,1.0,0.045,457,829
pyvvxneg,0.705,0.14500000000000005,0.14500000000000005,124,529
laztgykv,0.568,0.28200000000000003,0.5820000000000001,963,982
pawdlkgd,0.8,0.35,0.35,537,1101
ciaucqwj,0.804,0.346,0.804,997,1798
rqodtccw,0.215,0.935,0.635,895,1288
mjjdynde,0,0.99,0.16,194,1397
addtusbw,0.05799999999999997,0.792,0.05799999999999997,699,1340
ykgadauy,0.82,0.33000000000000007,0.030000000000000054,574,1836
hjtsosev,0.28400000000000003,0.5840000000000001,0.566,352,1968
pskpcojb,0.672,0.672,0.178,940,1003
arvtmhji,0.030000000000000054,0.33000000000000007,0.82,475,589
kzmquqvl,0.714,0.43600000000000005,0.13600000000000004,403,950
eiumeuyq,0.718,0.13200000000000003,0.43200000000000005,319,1266
ikrkakvl,0.906,0.244,0.606,25,1936
htmqgnrp,0.478,0.778,0.372,937,1087
vbvlzlsw,0.40700000000000003,0.10700000000000001,0.743,92,1543
qcrrccyd,0.224,0.926,0.626,27,870
bqlywenm,0.42000000000000004,0.7200000000000001,0.43,398,679
nkbmsrog,0.675,0.17499999999999996,0.17499999999999996,374,847
kjgicdjf,0,0.932,0,13,1762
yqawlakr,0.42400000000000004,0.42400000000000004,0.426,548,1215
qyefofiw,0.30799999999999994,0.542,0.608,111,666
hormrbce,0.893,0.257,0.893,893,1057
fqzajwfy,0.65,0.19999999999999998,0.19999999999999998,734,1555
ovyrzqov,0.343,0.807,0.807,807,1262
iptgrpoe,0.33899999999999997,0.511,0.33899999999999997,174,1175
jllntoif,0.885,0.885,0.265,769,797
isdtfvhq,0.4570000000000001,0.4570000000000001,0.693,793,1143
rlixevnl,0.20199999999999999,0.648,0.20199999999999999,829,1479
fclpezrs,0.561,0.589,0.2889999999999999,784,1531
dliwgcoo,0.802,0.348,0.502,550,1515
yhsoqtzs,0.335,0.515,0.8150000000000001,728,1506
lcmzbujj,0.674,0.17599999999999996,0.17599999999999996,813,1744
pxxluksa,0.346,0.504,0.646,134,604
lyclypyu,0.645,0.505,0.645,449,778
pciisrib,0.21499999999999994,0.21499999999999994,0.935,584,1785
anryhlbs,0.20700000000000005,0.20700000000000005,0.943,857,1465
jwdnshaz,0.46699999999999997,0.683,0.46699999999999997,347,926
pyolxaia,0.012,0.838,1,160,598
nayxvdis,0.649,0.20099999999999998,0.501,123,578
upkbfxwe,0.803,0.347,0.803,212,511
jvgqkdwb,0,0,0.872,532,1954
nmohtsok,0.503,0.647,0.347,786,1730
ecqbmjxv,0.592,0.892,0.258,278,1698
ihqkduxd,0.841,0.30900000000000005,0.30900000000000005,50,799
yocjssoi,0.695,0.3949999999999999,0.455,667,1782
xmyllgjf,0.437,0.4129999999999999,0.713,316,1132
shzjcpyc,0.5219999999999999,0.5219999999999999,0.328,405,1933
pzqdgvtk,0.643,0.643,0.507,86,687
dkzjqegt,0.354,0.354,0.796,590,1713
pcpgplxa,0.707,1.0,0.143,777,1436
epmduecf,0.771,0.379,0.471,874,1241
pswuckku,0,0.938,0,78,490
pxchdcsc,0.394,0.756,0.45599999999999996,671,845
jswshpzn,0.322,0.828,0.828,548,820
ldrkyqbf,1.0,0.75,0.1,61,1154
xsvimisr,0.5099999999999999,0.34,0.5099999999999999,216,1283
xpnahhsn,0.14200000000000004,0.44200000000000006,0.708,864,1282
uvoxuzso,0.11000000000000001,0.74,0.11000000000000001,691,827
rziofcgc,0.519,0.33099999999999996,0.33099999999999996,925,1341
sknqyfii,0,0.954,0,585,1431
cdyybmxh,0.876,0,0,899,1240
aptcgizm,0.19699999999999998,0.653,0.19699999999999998,885,1550
jcbhvkdj,0.17800000000000002,0.17800000000000002,0.972,799,1525
qlsizxas,0.24800000000000003,0.602,0.548,857,1572
tyatihgy,1.0,0.728,0.122,651,1965
gbbhwhiw,0.871,0,0,936,1466
qzgnnrnk,0.725,0.42500000000000004,0.12500000000000003,406,727
jtmhkesc,0.14500000000000005,0.44500000000000006,0.705,41,824
vnddzwfq,0.46599999999999997,0.46599999999999997,0.384,888,1095
vxvdkbes,0.537,0.537,0.313,366,1605
yzzpfikh,0.606,0.544,0.544,616,1032
ggurheqp,0.313,0.8370000000000001,0.537,933,1635
jteaazrk,0.205,0.645,0.205,261,980
moginjqo,0.928,0.22199999999999995,0,810,1997
pwkomcwx,0.3829999999999999,0.467,0.3829999999999999,409,1062
wsbiuflc,0.438,0.41200000000000003,0.41200000000000003,695,1862
csgwezgx,0.777,0.777,0.073,195,1347
aghzxfhj,0.5720000000000001,0.578,0.5720000000000001,837,1561
xsoletue,0.33999999999999997,0.81,0.33999999999999997,532,561
cextmeyh,0.73,0.12,1.0,738,1524
sfcltuys,0.42300000000000004,0.727,0.12300000000000003,938,1153
khygrgoq,0.7260000000000001,0.424,0.7260000000000001,2,851
qhemfsvv,0.789,0.061,0.789,235,1354
ghndxnng,0.704,0.44600000000000006,0.14600000000000005,742,1284
qilyhrjm,0.362,0.788,0.06199999999999997,622,1965
tijxsnqu,0.055,1.0,0.7949999999999999,454,1676
cyaaxgrv,0.438,0.41200000000000003,0.41200000000000003,938,1360
xowpbkmc,0,0.995,0,927,1059
zfxmboax,0.753,0.097,1.0,755,1627
mxbrqyaj,0.195,0.955,0.955,745,1752
nubodtcp,0.3849999999999999,0.465,0.3849999999999999,599,936
saescpzp,0.8119999999999999,0.5119999999999999,0.338,797,1649
mxqpwlpd,0.981,0.169,0.169,738,1743
hbvcykun,0,0.23199999999999996,0.918,137,1343
dcerbayq,0.585,0.265,0.585,460,1626
qswezcvv,0.005,1.0,1,811,1641
tlmimvkm,0.169,0.981,0,402,670
klizekuu,0.15900000000000006,0.4590000000000001,0.691,89,1184
vpjctucn,0.30400000000000005,0.30400000000000005,0.846,873,1528
tberlevr,0,0,0.901,92,1398
ugiaruhx,0.617,0.233,0.533,742,1323
rbvytjvk,0.023,1.0,1,522,1616
dmqooinr,0.603,0.547,0.30299999999999994,549,966
ehvbvkjq,0.638,0.512,0.512,475,915
uoyynqdc,0.6799999999999999,0.17,0.6799999999999999,639,1817
olmysoou,0.276,0.874,0.574,53,1489
gharnayo,0.010000000000000037,0.31000000000000005,0.84,14,1367
hsfpkqht,0.277,0.5770000000000001,0.573,583,768
sufcxrvz,0.5539999999999999,0.854,0.296,920,1839
dkttcudy,0.30500000000000005,0.30500000000000005,0.845,457,660
gryhedho,0.639,0.639,0.511,356,1541
ckrltujf,0.789,0.061,0.789,3,1572
yqojqsag,0.816,0.034,1.0,517,1389
rbytykzd,0.264,0,0.886,240,246
vburidnt,0.359,0.05899999999999997,0.791,571,895
artsudkj,0.17300000000000001,0.17300000000000001,0.977,493,1345
rminrrmv,1.0,1.0,0.108,504,893
wpxyhfrr,0.894,0.256,0.594,862,1719
cnuqiiph,0.46699999999999997,0.16699999999999995,0.683,21,524
tjwsgees,0.862,0,0.28800000000000003,563,804
sdrwvhvq,0.24300000000000002,0.607,0.24300000000000002,215,858
dogbcrhx,0.399,0.751,0.399,972,1041
bykxqfwu,0.721,0.429,0.721,491,1867
ptobmrgt,0.5800000000000001,0.28,0.57,167,1134
foblmedt,0.069,0.781,0.781,581,1210
wtbseorj,0.777,0.373,0.07299999999999998,112,1532
rwfjyiix,0.8630000000000001,0.287,0.8630000000000001,164,1615
uaddsjza,0.3969999999999999,0.3969999999999999,0.453,15,1936
nizrxfbw,0.161,0.989,0.161,740,1723
gvnkeeqd,0.262,0.888,0,900,1562
bqakltgr,0.771,0.379,0.379,135,1442
vljdljqg,0.357,0.493,0.493,831,1783
qhybucau,0.989,0.989,0.161,359,971
pvcagisg,0.37,0.37,0.48,498,701
cwduyybo,0.364,0.364,0.486,258,1004
jcavbjpm,0.28800000000000003,0.862,0,363,1141
apmsvopo,0.693,0.693,0.157,399,1523
pusbbmqn,0.3889999999999999,0.689,0.461,277,1411
ixanwnpi,0.521,0.521,0.329,654,1038
rtmubxkn,0.363,0.487,0.487,530,1532
msutfdxd,0.947,0.20300000000000004,0,574,1182
taszwwpl,0.116,0.734,0.734,90,1959
uafifszh,0.25,0.6,0.9,576,1238
uledcfge,0.788,0.362,0.488,389,1684
jymbcxlu,0.848,1.0,0.002,259,475
jskzbexq,0.29899999999999993,0.599,0.551,643,1144
jdcvtuev,0.709,0.709,0.141,254,1450
tmjoibeu,0.04899999999999996,0.349,0.801,29,1431
zqouwxey,0.5579999999999999,0.292,0.858,945,1137
mkrzdgjo,0.755,0.395,0.755,955,1247
exmqacbw,0.7340000000000001,0.416,0.43400000000000005,520,823
lcffnoxc,0.375,0.675,0.475,816,1516
pmlmvdwo,0.02600000000000005,0.824,0.32600000000000007,156,354
zzgpayly,0.642,0.508,0.642,640,828
nlfeqacr,0.66,0.18999999999999997,0.49,322,702
gzszheme,0,0.163,0.987,492,1240
lzicjtwm,0.86,0.29,0.86,97,694
hevtndfg,0.504,0.346,0.504,715,721
aznybehr,0.361,0.361,0.489,696,1897
elxxxopk,0.272,0.578,0.578,201,1134
fzrlfiid,0.6649999999999999,0.185,0.6649999999999999,649,1474
ewvsodoa,0.214,0.636,0.214,845,990
xemjtfjg,0.249,0.601,0.901,563,1283
qwapdevy,0.847,0.003,1.0,945,1497
adbvkgdg,1.0,0.844,0.006,439,1289
hqxfjfim,0.713,0.437,0.4129999999999999,904,1261
mqwgkgwr,0.9380000000000001,0.9380000000000001,0.212,784,1687
paqjtbeh,0.41400000000000003,0.436,0.41400000000000003,647,1982
dduwgwnv,0.259,0.891,0.891,307,1397
psubwaam,0.507,0.207,0.643,538,1704
ltortknf,0.705,0.14500000000000005,0.14500000000000005,82,215
rsrmiolz,1.0,1.0,0.119,608,1346
naukbxkl,0.614,0.614,0.536,223,228
tupgcuuk,0.913,0.23699999999999996,0,42,511
wdcqivov,1.0,0.734,0.116,246,1117
ezcyfzcy,0.611,0.539,0.23900000000000002,931,1388
iuoxuodx,0.5670000000000001,0.283,0.8670000000000001,870,1671
yrnihhqp,1.0,0.059,0.791,811,1094
ydpfwejf,0.867,0,0.28300000000000003,287,560
nqynohzn,0.263,0.887,0.887,434,1016
uosbitwu,0.973,0.6729999999999999,0.177,304,571
hdeggkpm,0.988,0.162,0,35,1325
awgirdqw,0.23699999999999996,0,0.913,975,1796
bedoxgsk,0.83,1.0,0.02,43,1839
ihhfyasd,0.30799999999999994,0.608,0.542,661,1080
iwnkwmsi,0.131,0.719,0.719,302,357
htrkndbp,0.648,0.502,0.648,767,1216
huyvputl,0.42200000000000004,0.728,0.12200000000000003,46,277
gjmanhnc,0.643,0.507,0.34299999999999997,625,1577
mpkwssgl,0.507,0.507,0.643,82,1959
lylmelxh,0.792,0.358,0.358,125,930
vyqsotcr,0.584,0.266,0.266,257,460
bogfbrod,0,0.999,0.151,329,375
qzdogyeg,0.036,0.814,1,646,1379
bsguprop,0.216,0.634,0.934,431,1133
pyutskmo,0.30600000000000005,0.844,0.006000000000000033,118,1859
iwyvapod,0.842,0.842,0.308,132,1615
jbritsek,0,0.973,0.17700000000000002,388,1530
nuhdjvhy,0.42700000000000005,0.12700000000000003,0.723,217,907
mmwlefol,0.762,0.088,0.388,216,470
jpbzhtqo,0.5459999999999999,0.846,0.304,559,1036
imxedyai,0.3370000000000001,0.813,0.3370000000000001,558,1387
joyudkea,0.472,0.678,0.17199999999999996,399,1652
zxgavhef,0.8119999999999999,0.8119999999999999,0.338,101,870
sytebvvq,0.568,0.5820000000000001,0.5820000000000001,862,1839
adxmwbuq,0.555,0.29499999999999993,0.29499999999999993,324,1728
ekdrwwbp,0.42299999999999993,0.427,0.723,482,911
tztrobrw,0.18899999999999997,0.661,0.18899999999999997,849,1116
evhlexao,0.42400000000000004,0.7240000000000001,0.426,624,1453
ffoijkne,0.796,0.354,0.053999999999999965,255,1035
rozkmrsw,0.6829999999999999,0.467,0.6829999999999999,858,1944
gqxvroff,0.634,0.516,0.516,880,1385
jyfwpplk,0.897,0.597,0.253,98,662
mwucyfwy,0.963,0.18700000000000003,0.18700000000000003,973,1143
lgnjtyps,0.277,0.873,0.873,60,1319
ttflokiy,0.39,0.39,0.76,876,1989
seqiezmh,0.394,0.45599999999999996,0.45599999999999996,200,910
ndsfpyjy,0.313,0.8370000000000001,0.8370000000000001,902,1511
gmqvflap,1.0,1.0,0.048,721,1012
mynvkvgd,0.76,0.39,0.76,648,672
yrtliygu,0,0.162,0.988,516,1483
vmidhvsf,0.555,0.595,0.595,585,1055
tladruef,0.212,0.9380000000000001,0.638,895,960
pffzffiy,0.701,0.701,0.149,638,1894
nbmjnvtz,0.248,0.902,0.902,484,1958
icthhted,0.397,0.753,0.397,187,951
ogotdajc,0.47,0.38,0.77,6,1973
arrpkfwj,0.5800000000000001,0.5800000000000001,0.57,672,760
seddmujn,0.7989999999999999,1.0,0.051,597,1040
iyeitlzh,0.928,0.928,0.222,919,1602
utpmqciu,0.7839999999999999,0.7839999999999999,0.066,723,1978
ndjrwlml,0.833,0.31700000000000006,0.31700000000000006,973,1981
osglceqc,0.594,0.594,0.256,244,1129
jbqdmgaf,0.6960000000000001,0.454,0.6960000000000001,620,741
usjzhnhb,0.44200000000000006,0.44200000000000006,0.708,343,1819
ywyaahcf,0.768,0.382,0.46799999999999997,262,1185
vbkgwazm,0.775,0.07499999999999998,0.07499999999999998,32,1442
xwhavkse,0.417,0.43299999999999994,0.733,27,1350
zygbovdt,0.072,1.0,0.778,309,782
zfdedrzt,0.746,0.404,0.746,912,1893
jflgrgjr,0.797,0.052999999999999964,0.052999999999999964,410,1503
gpgueiwn,0.338,0.5119999999999999,0.5119999999999999,936,1121
imiqrdqw,0,0.852,0.29800000000000004,853,1222
uyorgicn,0.838,0.31200000000000006,0.31200000000000006,283,1503
