name,elevation,aspect,time_in,time_out
cndqjuoq,0.489,0.183,604,1104
nsqajuwe,0.662,0.125,975,1900
skooocms,0.609,0.358,842,1167
pzkespgx,0.448,0.889,543,1394
uybtstei,0.594,0.078,564,1337
fmeakbvc,0.511,0.239,168,815
ekcdhiwy,0.681,0.811,515,636
yllfmkle,0.662,0.319,681,757
hjmpuaxu,0.603,0.081,926,1884
pqewcibi,0.484,0.922,185,807
lbxyfgox,0.33,0.297,303,944
wrwslyev,0.596,0.5,717,1007
cdlsjdzh,0.624,0.989,783,1353
nxfqfpnx,0.568,0.481,321,1176
vwambmcx,0.431,0.456,382,1982
neyvljue,0.662,0.322,948,1847
bqkgwbuf,0.433,0.367,163,1804
wfrijnsp,0.328,0.25,674,856
gtndxhui,0.579,0.128,267,400
ppbuleis,0.609,0.711,326,960
bdtnrgzi,0.535,0.939,424,456
powckwef,0.438,0.353,94,978
jcywefbc,0.517,0.886,301,1950
hskylppy,0.686,0.125,972,1989
gyihgtsu,0.351,0.247,210,549
svuxppde,0.652,0.119,992,1639
bkmpilhm,0.562,0.522,295,1567
oyomilpf,0.436,0.183,185,374
tjyoqxji,0.657,0.139,321,753
llobddck,0.529,0.383,307,1766
ovqqswvh,0.516,0.175,394,1545
xcsuwlhz,0.423,0.125,144,211
zxsxadpz,0.67,0.064,708,1641
ktzkkodk,0.563,0.594,910,1217
cdvgjafi,0.576,0.897,780,1135
iqtzsjfh,0.583,0.867,260,452
ljejqnah,0.452,0.019,789,924
pstaswfi,0.693,0.156,194,625
xnvikmbe,0.548,0.025,978,1455
ilxwamlj,0.671,0.028,682,1395
kvgjdlsj,0.557,0.1,863,1943
kcgcszxk,0.563,0.464,196,1096
lakoxvzx,0.34,0.064,398,1976
jugkccab,0.571,0.722,911,1428
uliqzaur,0.547,0.142,622,1944
smnnjyzq,0.552,0.586,997,1829
vmgezdex,0.573,0.0,165,351
klmxrnbz,0.434,0.125,893,1600
ozdgsjba,0.573,0.464,802,1850
ayrbxabp,0.514,0.061,522,787
ktocpfuf,0.583,0.956,620,1195
kasogehe,0.588,0.519,102,1772
awmtswms,0.522,0.775,785,1867
bcedjemw,0.534,0.681,689,862
qckugnsg,0.542,0.556,393,1095
eqqxmkrg,0.566,0.15,98,1029
wkghhfsb,0.442,0.322,756,1484
xiegzbsw,0.374,0.989,185,1638
yohyexlm,0.693,0.906,248,1749
vtfrfvtf,0.689,0.075,859,1520
povkmdkx,0.379,0.997,588,1150
dpacqhyb,0.527,0.044,461,1005
saqandqs,0.477,0.133,962,1177
cpbrxmpd,0.336,0.414,823,1758
tktjjsqc,0.701,0.125,55,1855
pemvprue,0.594,0.25,461,1764
kbxiajrt,0.548,0.167,244,450
eshedbtg,0.517,0.214,90,479
pawdrdcr,0.553,0.106,481,1809
owhdwklq,0.589,0.639,543,1960
jnsuqpad,0.584,0.422,198,1782
qxgzlrxa,0.449,0.194,739,1420
weaqrkec,0.54,0.903,399,1598
ofwakdpa,0.67,0.35,69,1748
dcttnmyt,0.668,0.25,834,902
rrzyyeyq,0.558,0.617,688,1404
gnmivtow,0.516,0.233,338,1542
qyybikhx,0.58,0.303,767,919
okoiklhh,0.576,0.236,298,1569
qpphcbek,0.681,0.219,335,918
lxpvtnaa,0.573,0.375,373,1493
zexpxtrz,0.357,0.136,613,1173
fsiazicw,0.701,0.356,891,1478
ndbdhhjv,0.655,0.069,636,1913
wxqbdtnh,0.51,0.969,594,1710
vqlcszst,0.67,0.025,369,1289
hhfjbolf,0.558,0.722,231,1700
bmpmawiu,0.66,0.106,379,1184
friqnsuz,0.568,0.489,116,879
eeldlhot,0.527,0.4,691,1919
vkabhcoe,0.562,0.486,630,639
babbxawj,0.543,0.581,326,1031
nypsadyo,0.568,0.397,972,1344
rzrywruk,0.542,0.0,21,1228
mibakxyh,0.543,0.8,5,1384
lygveqga,0.55,0.8,988,1812
rhtcworw,0.469,0.317,743,1666
nspqcxpy,0.463,0.875,95,595
gmvowhat,0.463,0.903,439,974
bmuxeexp,0.465,0.889,913,1860
oqzlsqeb,0.532,0.45,698,701
mntwjtou,0.575,0.375,686,797
weonyxum,0.56,0.203,697,1126
ospbymbj,0.517,0.15,694,1970
aaqbvigp,0.331,0.125,25,421
yohpfsbs,0.563,0.2,626,1333
knjurfwu,0.599,0.108,909,1138
uazyckeb,0.485,0.217,919,1482
fyhtruts,0.671,0.919,410,1164
omrukzsf,0.639,0.914,870,1487
upskoigo,0.345,0.986,441,587
gmysugpz,0.552,0.247,739,1792
snhnouol,0.475,0.042,235,1106
insrfnno,0.445,0.242,493,1049
xewlqwwy,0.648,0.911,233,1008
lqpyyssm,0.566,0.792,709,932
zusklibb,0.555,0.3,804,1683
bqibtcga,0.537,0.214,600,1523
turkwwby,0.475,0.989,249,1230
yjrggpbb,0.468,0.294,270,475
hhmdmuhk,0.611,0.067,251,1202
igjiqoyu,0.539,0.144,630,1401
omjdquxy,0.527,0.725,80,967
tlqrubkn,0.53,0.644,538,582
vgihiewa,0.56,0.714,362,450
ueinqhml,0.358,0.867,219,343
gnzifazx,0.642,0.164,350,731
vowemkzf,0.473,0.042,934,1235
jmguwzki,0.368,0.025,529,1220
upzvyidu,0.535,0.644,132,1005
ubidrcmp,0.571,0.683,894,1057
kazyrhvk,0.477,0.261,859,1280
szdbqbho,0.565,0.95,237,882
elovlltg,0.658,0.164,612,813
ookusjpo,0.501,0.0,902,1656
ckmnrcmd,0.473,0.169,114,1001
gqijbble,0.571,0.217,564,883
uvjnxpjv,0.528,0.392,119,1877
ubmaupsy,0.405,0.114,40,1571
yepondmn,0.663,0.358,460,466
jsraxfam,0.527,0.6,440,695
gemzuxzf,0.655,0.2,482,700
ljttggih,0.548,0.083,145,1576
neromnmd,0.537,0.278,829,1746
eexqxndg,0.688,0.0,456,1784
ftvpnqla,0.671,0.147,183,1204
pmngqofb,0.522,0.656,302,1008
cxrqxfea,0.508,0.978,647,1147
ggprpzxv,0.522,0.706,663,872
kxotdofk,0.471,0.125,855,915
kfbpgila,0.699,0.933,245,1552
lnzfqbkx,0.665,0.772,208,581
mpyunmrc,0.547,0.172,594,992
xbtjxlmp,0.537,0.658,634,1265
nogzuhgp,0.596,0.781,538,615
fukhhslg,0.548,0.792,904,1295
vdhfvdac,0.466,0.114,841,1757
biffrfpp,0.657,0.45,164,583
hwcdiecg,0.629,0.192,309,324
ynebnqmo,0.518,0.142,633,677
iiwwwuuy,0.662,0.339,86,1354
ieotmvgm,0.583,0.225,596,1422
iossmcnz,0.552,0.697,404,464
jgqheodf,0.56,0.075,778,947
zjdptckh,0.547,0.111,50,1507
dodjpxsm,0.543,0.967,808,1802
msdirycl,0.645,0.522,4,1773
kmjqrvjw,0.487,0.417,423,1237
dlumzadp,0.639,0.514,102,125
jxqpahgy,0.496,0.136,190,1773
hiyqvpxx,0.537,0.308,110,1663
ckjiizag,0.476,0.306,93,1523
qwnxymvl,0.704,0.236,26,1616
rzysowdg,0.665,0.083,939,1624
zyerpopr,0.548,0.103,426,1488
phvjkils,0.571,0.767,1,1852
tkfwgwtn,0.575,0.781,272,717
nhfccpzw,0.542,0.078,447,1240
susnwpsq,0.531,0.919,998,1055
whrfqevq,0.563,0.875,402,1702
oosoqgsy,0.56,0.803,917,968
dkshklkm,0.515,0.142,506,1273
hjjrmudu,0.478,0.286,161,1934
ywtdbeua,0.54,0.353,936,1380
teatyitv,0.485,0.264,605,962
cubxawyk,0.644,0.264,708,1779
bpnzrqpt,0.559,0.261,646,872
dydxghdj,0.588,0.125,444,856
dtelvbvv,0.612,0.169,169,1636
ozbdyfxh,0.593,0.064,690,898
ycvpxgnp,0.562,0.25,265,1714
kbsjuilv,0.521,0.489,242,1712
pccaapvh,0.568,0.183,715,1494
fdpkroxr,0.335,0.419,84,636
csrfclbi,0.665,0.311,832,1195
fbnziwoj,0.54,0.675,907,1638
wsijoagp,0.575,0.597,978,1317
aihlhzcp,0.581,0.661,392,1796
qslancjj,0.539,0.222,369,1438
kerbijar,0.493,0.881,661,1052
wnfiswbt,0.461,0.036,298,1846
aijgcclv,0.543,0.7,68,1096
tizuvilm,0.499,0.397,278,1676
dblgjsgm,0.581,0.147,195,1735
vusrcebk,0.53,0.392,13,62
rkrswrsx,0.471,0.514,855,1430
ursgpdav,0.457,0.419,932,1749
owpoofje,0.45,0.4,516,1140
rgjfdmda,0.428,0.325,253,1638
tnhmgymh,0.406,0.303,132,1891
jkyvjkkj,0.558,0.35,268,1544
wdvbbmub,0.458,0.411,385,1281
pkkvvrpb,0.444,0.414,449,1124
khpzxflc,0.442,0.411,666,969
rkzujwfk,0.429,0.3,506,1996
vvufgxpv,0.446,0.378,889,1627
tzmkfgcx,0.44,0.364,957,1003
qgcmlram,0.437,0.369,373,1448
imuodktu,0.429,0.325,659,943
pwjzmygs,0.376,0.275,533,909
zfwphhuf,0.607,0.342,744,1302
votlqxdi,0.601,0.464,603,1160
tgwtggrq,0.52,0.333,625,1732
wrwenkrj,0.501,0.297,823,852
kidibeuh,0.497,0.975,425,1680
opjyknuk,0.463,0.561,573,955
jcivuyjw,0.432,0.353,108,1568
fmvcdjcu,0.399,0.306,319,1383
cccbrgez,0.603,0.539,861,1176
ricqqaae,0.596,0.464,952,1061
feuehfok,0.573,0.392,884,1441
eekpteoy,0.547,0.161,234,1882
sxpsksec,0.588,0.189,285,426
ycteupqf,0.422,0.361,697,1295
gnessmgk,0.413,0.356,547,1712
gkjnukzz,0.401,0.331,969,1293
lywxzdfw,0.599,0.281,233,1215
ateeizot,0.596,0.386,332,1769
rkbtujsi,0.601,0.95,26,918
ralhfuci,0.543,0.136,627,1921
gondabrj,0.423,0.342,202,668
zlzvmiyc,0.409,0.358,386,699
rbivohgg,0.381,0.225,84,1448
agorirli,0.601,0.125,138,655
uervilla,0.558,0.378,154,534
hzjzidcl,0.604,0.058,882,1046
zkrsfojk,0.43,0.356,952,1846
eypawbcl,0.39,0.239,153,1437
rhwikzvx,0.421,0.319,935,1653
istafbqt,0.407,0.3,459,789
qijxhqyi,0.398,0.197,773,1417
qmmwyciz,0.403,0.139,301,394
kbvyfely,0.596,0.222,375,709
wjxhdssx,0.5,0.347,156,1175
mluskuix,0.498,0.453,411,1889
cjpsptzs,0.594,0.156,905,1053
dgaybqlf,0.507,0.975,616,1599
dcjlvugo,0.411,0.064,248,1657
cqxozvyw,0.409,0.025,532,600
gklbexzy,0.41,0.025,607,1320
rwielnzv,0.49,0.333,374,862
qzsawuyj,0.467,0.239,205,266
esihggzv,0.622,0.206,862,1381
roqaffca,0.568,0.017,763,1795
jwpexdop,0.422,0.25,396,985
lczcmncf,0.566,0.783,985,1948
ybgkhfus,0.573,0.086,568,1404
bruenqrp,0.53,0.325,87,1975
ofuevjdv,0.543,0.717,397,1657
qdamezhe,0.598,0.75,701,1438
srjxkygv,0.56,0.208,164,515
xawtvwtv,0.528,0.225,543,1823
crgnsrct,0.449,0.083,818,1511
vrzbzsmo,0.429,0.431,556,1297
xaipaigh,0.535,0.875,622,1616
vkgamtpt,0.456,0.264,38,1086
jvuxzbur,0.399,0.214,572,1168
rvvisxbm,0.446,0.344,507,965
xypxriib,0.524,0.125,339,549
gtuzxcsb,0.461,0.181,707,1235
lphkjmjt,0.428,0.564,749,1148
shfrjwdb,0.555,0.939,60,726
rpxillja,0.44,0.361,418,730
oldmjiul,0.532,0.358,739,755
wuwfmyoz,0.467,0.281,167,219
bbptbcio,0.603,0.25,82,529
ugvazift,0.591,0.675,663,1480
rudhcint,0.515,0.089,564,1274
kycsujlm,0.611,0.5,422,1891
andxqrie,0.377,0.367,369,602
knmekaaz,0.56,0.375,25,474
gfzfzlit,0.547,0.981,796,1453
gahmhuwl,0.457,0.225,796,812
getdzyxi,0.599,0.25,687,1825
borjmbel,0.603,0.125,893,1999
ilnpmjbb,0.442,0.483,521,1326
fjbtjwky,0.409,0.464,59,1845
prowfeuc,0.354,0.389,417,1084
plblttfa,0.44,0.394,754,1334
eoqwkjxx,0.571,0.742,141,503
qpdevieu,0.578,0.014,997,1029
mqeriwks,0.363,0.953,772,910
icpsyvbv,0.522,0.289,104,154
zrxrztxb,0.594,0.431,862,1397
sbgoolvz,0.525,0.589,939,1553
nxaeebnz,0.526,0.55,287,598
bjmyhixc,0.576,0.3,98,877
eeakpqsu,0.57,0.189,291,943
uiktreya,0.576,0.731,417,871
medycpdf,0.575,0.067,843,1341
padqthlq,0.573,0.05,140,998
ivbvkxwh,0.586,0.225,928,1523
mkifeuml,0.54,0.8,931,1657
wkdslazd,0.545,0.769,136,356
eoxarkwx,0.585,0.897,411,1510
fbfutjyh,0.521,0.875,553,1744
skqxlhrj,0.537,0.267,870,1624
cfeoqijl,0.525,0.2,655,1654
btsejgok,0.525,0.0,224,866
kkqfcuwb,0.521,0.5,804,1895
mnnmvvjo,0.504,0.397,99,885
jmksuuxj,0.594,0.989,941,1080
ohuqvtzl,0.379,0.042,495,1096
ddduavfj,0.57,0.944,323,1259
bdrcagtt,0.552,0.767,82,1183
cqfdmbqp,0.45,0.444,812,836
hwyjwklw,0.394,0.025,331,1264
dmtoxmcy,0.584,0.603,20,133
ihjgslsx,0.552,0.336,717,1589
hmufctsy,0.53,0.325,115,887
ccxihsuo,0.416,0.953,16,291
pjwdspoo,0.401,0.008,768,1460
nwqloakg,0.548,0.653,279,1902
yvclutyt,0.547,0.333,763,1022
zvrmnukt,0.514,0.344,332,1039
dobvrpbx,0.578,0.939,742,1260
katcdvfk,0.568,0.172,519,1478
fxtgvngc,0.553,0.394,567,1967
exuniuny,0.562,0.131,328,1921
lphxqjnm,0.44,0.864,197,565
fodvloam,0.562,0.014,9,1179
dmqqwapq,0.529,0.675,207,1998
kkvvomzl,0.594,0.375,577,1556
qkcrklrm,0.446,0.75,79,793
qbhwhiro,0.416,0.883,526,1377
okwbxdie,0.37,0.247,579,1715
evgnuzip,0.53,0.733,331,1499
pxatknoc,0.558,0.703,646,1252
gxjarpqs,0.379,0.231,116,535
cettsqri,0.358,0.256,422,1882
uvzfvcyw,0.54,0.053,938,1747
gsduqwtw,0.528,0.125,181,1609
nwjwtkuq,0.453,0.114,9,1835
rkglhgkz,0.463,0.967,167,210
jctylgkw,0.496,0.3,462,678
iqigomvf,0.53,0.656,277,1309
sateczvo,0.568,0.647,839,1566
nmbmmwmh,0.479,0.089,148,1275
dwrbbdfe,0.537,0.05,529,652
ewyiwcxy,0.484,0.031,545,1472
rwhgyefa,0.468,0.131,96,1903
iptuoexf,0.451,0.172,479,1559
ttaiuhxo,0.421,0.211,146,911
dghlrfni,0.571,0.661,905,1392
ywigyvth,0.42,0.458,431,1978
cvrlzlur,0.436,0.219,691,906
tfbyqpoo,0.398,0.228,763,1755
ttmxbuig,0.393,0.128,325,620
vbwawpvi,0.57,0.7,289,992
pewtcsee,0.498,0.078,18,310
ebvcepfb,0.475,0.175,506,1163
anqldzxy,0.387,0.261,425,1169
ivbvmvjn,0.365,0.422,430,534
goazevsq,0.476,0.233,161,558
xuvsaxzf,0.534,0.578,306,833
yagwvgsr,0.49,0.197,661,1157
xhzwxsrp,0.415,0.497,477,1658
ghltjynz,0.578,0.183,889,1807
mqdhzsfu,0.568,0.172,887,1808
hsrsrqjs,0.54,0.442,680,891
fmnuvpik,0.535,0.361,307,1812
xwfzjgzi,0.496,0.297,590,1469
zyytnsuk,0.545,0.339,944,1793
wtmdhjbi,0.369,0.092,37,1976
vwqzavjf,0.54,0.125,623,850
zgpbftoa,0.473,0.122,913,1674
mqbkvpsx,0.608,0.144,240,1312
hvprstoq,0.537,0.15,892,1299
yhwqrvvb,0.505,0.081,218,1036
nkjdsaln,0.503,0.356,985,1803
jtwhougw,0.544,0.978,894,1548
izcwihkl,0.581,0.069,568,1259
otveiiry,0.58,0.136,807,1370
xblsqwxd,0.502,0.536,142,1594
jrtizocy,0.56,0.433,103,747
vnfnjnma,0.543,0.175,747,1503
zmfdjplr,0.38,0.019,792,1164
iihzhped,0.555,0.333,261,1468
deztvmip,0.438,0.258,902,1145
vsafpaef,0.435,0.231,377,1259
hsqibqhn,0.452,0.528,1000,1271
ychfttxq,0.532,0.75,781,1000
stkexfig,0.534,0.169,818,822
dkydreni,0.552,0.961,304,925
jfxndsjq,0.383,0.508,424,632
zazvkyez,0.529,0.297,126,1737
xyvvicwj,0.393,0.958,643,895
ptghusmd,0.393,0.125,22,43
gmhciyuw,0.583,0.067,820,1947
bvjwnwjd,0.396,0.111,854,1297
agqqylax,0.539,0.642,618,654
vritnkhm,0.477,0.353,503,1476
ehnjmeng,0.379,0.956,351,433
vxtuvrnm,0.547,0.781,471,821
szpuqhqz,0.555,0.794,699,1143
bkrmestu,0.567,0.633,686,1674
pevpiepu,0.559,0.344,126,794
xrlceaga,0.469,0.364,72,1906
vayejknf,0.548,0.864,75,718
todlsijg,0.529,0.486,826,1557
sgremyih,0.481,0.2,944,1042
cdzgchkj,0.468,0.497,753,998
lqmkphvr,0.401,0.739,42,1833
bzpsgbjn,0.467,0.331,515,1797
bxnsayva,0.559,0.875,222,1415
jzrxbukd,0.474,0.319,32,558
qkxslcvt,0.625,0.242,64,217
lqkshnmz,0.625,0.147,677,1746
nbijsopt,0.467,0.303,589,1802
hsvawcfz,0.458,0.336,443,623
nuwbqtji,0.627,0.039,493,1776
poxpqikh,0.53,0.947,776,1183
mjuvxswz,0.449,0.358,202,1959
qiliezsv,0.547,0.114,91,329
pcnfqxsn,0.453,0.253,558,1840
edllvisz,0.447,0.303,727,1821
gksxqcnl,0.443,0.339,996,1497
fvovtnwn,0.439,0.383,800,807
zndrncoi,0.548,0.433,203,299
nbgexexu,0.402,0.383,388,973
agwgsdcv,0.565,0.192,812,1281
ymwygxcr,0.553,0.2,206,1711
xmkxrflo,0.402,0.328,922,1122
gnyeindh,0.371,0.178,735,1433
rawdrkqc,0.542,0.197,794,1944
pplzknqa,0.43,0.25,173,1644
ftjskvml,0.418,0.467,419,953
gkcavjoo,0.405,0.086,874,1508
kkcncpnl,0.447,0.286,31,797
fqylfdtb,0.431,0.281,393,1473
jcuenjqn,0.414,0.394,756,811
wbqdqibh,0.409,0.331,91,324
prrkcyoj,0.376,0.375,120,159
erevkvvs,0.424,0.381,320,1593
zgipqaqw,0.425,0.897,287,562
isidcarn,0.409,0.183,763,1057
zmqrldti,0.671,0.194,8,1973
nbyyqwsn,0.415,0.333,528,1070
imbqdfrh,0.413,0.031,22,116
yqbldunn,0.413,0.964,241,1448
dcakttbe,0.428,0.914,445,1103
ovigktke,0.454,0.106,768,1007
oymrbxwd,0.418,0.281,962,2000
xfqkhlyf,0.416,0.097,490,856
myzsdkif,0.455,0.019,909,1568
kkvwogyh,0.468,0.35,171,1119
zjaiepbw,0.441,0.922,447,1051
luefudel,0.575,0.661,522,544
rgpluntb,0.553,0.233,904,1781
yftvzidf,0.462,0.922,949,1410
qcmsfpos,0.461,0.156,704,1410
qfemhynn,0.458,0.111,496,1979
mikfawnp,0.461,0.108,165,572
lzogwekc,0.367,0.019,324,1511
jkmjnike,0.645,0.333,80,906
uhlzymew,0.593,0.958,145,1732
iyjhcesj,0.53,0.211,942,1047
xsjlxakj,0.464,0.144,384,1636
tbbtybmj,0.461,0.036,809,908
llxoesyt,0.461,0.972,175,384
gpkrrpmh,0.507,0.219,184,1473
nkiuzzpw,0.469,0.075,537,841
fksvtcvr,0.466,0.15,573,1123
fncgwkfc,0.455,0.297,539,705
mcyaoqsl,0.43,0.133,969,1261
qhoqnsjm,0.452,0.992,248,495
ozdfjrxx,0.576,0.203,703,1327
udccbqqj,0.548,0.181,704,1966
kzarziyd,0.645,0.375,622,1939
zjcndxws,0.475,0.311,331,1979
amgkaemd,0.476,0.978,804,1673
gvdfyigh,0.673,0.167,675,970
huwyftrq,0.517,0.133,718,1163
pynnvmij,0.532,0.814,143,416
fkebmuhf,0.485,0.978,464,1507
dyldmtki,0.37,0.908,251,1401
ubxtmkig,0.557,0.967,172,1695
fkfdlfvw,0.488,0.967,522,887
jiirgocc,0.476,0.117,592,1986
pcvpnofl,0.413,0.392,402,996
xkystnpu,0.377,0.108,593,1301
feqvfxwd,0.394,0.65,419,933
tojtygzi,0.404,0.264,343,626
enxorfqw,0.542,0.847,116,1203
bwfscpba,0.556,0.944,246,1236
hgsokivq,0.482,0.856,545,1709
vrddznax,0.401,0.167,538,719
ybytrgfy,0.414,0.939,481,1651
wlbnxuqu,0.622,0.236,6,1881
isnnbjkc,0.588,0.139,755,1488
qyfwwyrc,0.412,0.078,6,850
viyxsmbo,0.509,0.953,401,1752
ixztxytf,0.472,0.994,128,469
