name,elevation,aspect,time_in,time_out
vmpvclar,0.443,0.85,403,1448
uqecpitq,0.328,0.283,730,1674
pimrxsvr,0.465,0.036,736,1124
hbmqmztz,0.352,0.983,695,1770
phalwfmb,0.607,0.481,284,664
sgcmrtut,0.56,0.197,534,1878
acqyossq,0.501,0.086,337,1750
dtkgbmdc,0.604,0.456,465,757
yiyiuyiy,0.473,0.2,38,506
mhzbphdh,0.352,0.164,922,957
xherijbu,0.354,0.094,782,1767
jsnetnna,0.57,0.125,335,829
yesdssqv,0.413,0.233,896,1334
yiewhzlt,0.409,0.117,227,644
wwymsvrz,0.502,0.283,405,789
wukendgp,0.358,0.472,478,1249
vyrqvzwb,0.326,0.586,553,1984
sukokunc,0.604,0.089,327,1690
ujjzfvqf,0.525,0.158,21,574
belehppj,0.502,0.967,218,1894
yeawdjic,0.354,0.925,715,928
phlaxsvs,0.662,0.292,921,1867
tcvajnil,0.48,0.9,986,1845
oixmkeex,0.447,0.922,858,960
plddbnha,0.446,0.244,445,530
nultppsq,0.355,0.283,229,429
dvjyhmpk,0.668,0.308,831,1853
qzzfrfvh,0.562,0.147,682,1380
mmpuwcbb,0.496,0.161,236,742
ksduoguf,0.364,0.211,359,788
mwlenakl,0.489,0.047,980,1302
yipxbmxu,0.432,0.275,444,1912
cefwviee,0.606,0.0,987,1539
kwfqlobz,0.599,0.344,830,1890
ggyokyhw,0.48,0.331,568,1786
pabcmfha,0.494,0.889,49,1413
jiekyyjd,0.374,0.311,340,865
ptfjuuzj,0.517,0.231,483,1647
ardzqwmo,0.429,0.003,811,1924
unxargmd,0.393,0.347,23,1206
jsxaxwot,0.377,0.103,213,1362
yijzyfey,0.535,0.989,790,1186
nrevljqy,0.454,0.853,123,537
taqgifqw,0.566,0.136,30,1903
aevciveq,0.54,0.156,620,1884
fkyibnbm,0.339,0.019,920,1142
gkcflxwp,0.63,0.331,860,1644
wenhzpgv,0.542,0.961,578,1529
cfrnusle,0.514,0.033,10,1721
udfadaho,0.458,0.956,536,1667
djteqtdm,0.316,0.219,296,1895
uasdbclf,0.624,0.633,591,828
wpcidfdc,0.486,0.789,194,684
nwultsdg,0.489,0.311,512,788
xebedmha,0.516,0.831,986,1992
stmnkudy,0.483,0.375,359,1346
ttxjslnd,0.435,0.375,604,1701
jcqatxia,0.552,0.244,806,1777
mcmxjitq,0.642,0.611,672,1876
fijbbxnl,0.494,0.006,20,610
agpljwec,0.339,0.094,641,711
gowgnsbb,0.655,0.264,789,948
zdkprlzu,0.534,0.803,256,948
fvdaymvs,0.517,0.058,194,1638
eojungjc,0.414,0.056,680,1133
fcnzvfxk,0.625,0.586,539,1838
dxqufcqh,0.63,0.556,693,1453
krcqhnfy,0.529,0.969,108,665
fglhkqkl,0.468,0.05,618,1152
xldcovot,0.348,0.161,496,1154
iuezgmlk,0.32,0.117,354,1550
ucgmzysw,0.584,0.481,92,1204
qqmfubvg,0.619,0.444,813,875
amibbopy,0.529,0.292,295,553
jlwyfwwy,0.366,0.117,130,1854
cvrbrnia,0.663,0.911,296,1630
afodzush,0.581,0.614,987,1295
phrlcvok,0.612,0.714,772,1939
mevgqeck,0.501,0.767,739,1522
uadogvxd,0.575,0.544,733,838
sdbskeax,0.588,0.525,743,1850
qwdxieri,0.507,0.361,259,511
hnkpteju,0.662,0.136,90,1554
zalbpovy,0.57,0.283,228,1725
yztciycs,0.4,0.992,246,1319
kbvhxqvk,0.658,0.042,693,757
qdvdrtvd,0.547,0.022,18,548
goilqtlv,0.382,0.264,499,1014
vhwrfvhv,0.548,0.8,927,1661
irgvvaew,0.489,0.183,783,1991
lzpptozv,0.662,0.125,681,1072
iuvshuhj,0.609,0.358,772,1753
cxstgefz,0.448,0.889,38,585
rjftcolu,0.594,0.078,548,1544
egwbvujt,0.511,0.239,644,923
agenjwpn,0.681,0.811,665,1998
fpihspcs,0.662,0.319,881,1713
bgrspzmx,0.603,0.081,343,992
zlynilql,0.484,0.922,879,1922
dcfddmau,0.33,0.297,739,947
aqsyyhmq,0.596,0.5,173,1473
uhbsulas,0.624,0.989,291,1758
sfatsglm,0.568,0.481,401,1644
sasbtsux,0.431,0.456,494,1194
qfnvijmh,0.662,0.322,700,954
zzxvtryv,0.433,0.367,222,1740
hmnalznb,0.328,0.25,576,1015
rupkfsws,0.579,0.128,103,254
lvjrcawb,0.609,0.711,62,365
cpgtxdhn,0.535,0.939,931,1918
cgktigzh,0.438,0.353,360,390
sekuxjao,0.517,0.886,423,864
gaiyfoky,0.686,0.125,627,1621
gtcvlbwi,0.351,0.247,110,606
avyqtdjz,0.652,0.119,890,1910
ngsfpfnr,0.562,0.522,624,1362
gqmpgmok,0.436,0.183,876,1456
jbdwjsnt,0.657,0.139,333,1953
gccazzzs,0.529,0.383,692,1043
mzgrxmqx,0.516,0.175,416,993
pxmqrtre,0.423,0.125,545,1561
xyjuloih,0.67,0.064,116,1205
uyibmyws,0.563,0.594,943,1334
kzbmmitu,0.576,0.897,243,723
lgijgfkc,0.583,0.867,506,507
xcxxzuoq,0.452,0.019,795,1039
jkpgirwl,0.693,0.156,253,667
etioltni,0.548,0.025,381,433
lgmrfovk,0.671,0.028,764,1979
yntiutiy,0.557,0.1,28,102
hqdrhhqn,0.563,0.464,524,1450
gpeunomr,0.34,0.064,179,1722
mbzypffo,0.571,0.722,170,853
pafyblgo,0.547,0.142,839,1383
croftrrx,0.552,0.586,27,494
xobelhec,0.573,0.0,225,1907
dapuemyn,0.434,0.125,167,343
luzauzib,0.573,0.464,96,772
qrsugncd,0.514,0.061,879,1183
bjomczcw,0.583,0.956,588,1018
ijvuerve,0.588,0.519,484,925
grrymzmn,0.522,0.775,817,1396
hkztzdhb,0.534,0.681,444,1832
gitnmlgr,0.542,0.556,265,1128
ugtdkqti,0.566,0.15,403,946
uvxwruno,0.442,0.322,999,1479
cbsncuzd,0.374,0.989,875,1511
dcromhaa,0.693,0.906,673,1488
hytlpkqd,0.689,0.075,229,1733
goxodugn,0.379,0.997,118,632
kifizzfm,0.527,0.044,599,1329
beqacdwh,0.477,0.133,829,1218
bsuvaxnt,0.336,0.414,895,1375
aqvoxvnk,0.701,0.125,204,595
xeflcraq,0.594,0.25,851,871
ecrqwvdq,0.548,0.167,605,676
gzweikgp,0.517,0.214,345,346
kpilmlve,0.553,0.106,992,1346
gmjxxxzc,0.589,0.639,973,1732
maosimzb,0.584,0.422,122,560
ocaljdsn,0.449,0.194,107,696
hfvxbmmc,0.54,0.903,474,1758
dzuqxrlh,0.67,0.35,982,1184
brzcwtih,0.668,0.25,120,1257
qjpwoajp,0.558,0.617,206,1518
evucvmcu,0.516,0.233,563,686
rgysqbyw,0.58,0.303,110,172
ynpxfnoq,0.576,0.236,409,1329
mnzttjkx,0.681,0.219,159,975
wnvyrdgv,0.573,0.375,776,1862
dczzvzjt,0.357,0.136,247,1020
foxtunnl,0.701,0.356,145,1375
giwunabr,0.655,0.069,894,1539
ogcssndh,0.51,0.969,640,1865
smrktzjm,0.67,0.025,588,1392
xtqgdmsf,0.558,0.722,950,1816
ngvqgphi,0.66,0.106,185,1390
vstvdazb,0.568,0.489,797,1595
xjbkybfz,0.527,0.4,893,1673
pgidgqln,0.562,0.486,679,1940
mtmcaqle,0.543,0.581,266,1281
dijklrpl,0.568,0.397,212,516
kcrharhc,0.542,0.0,8,678
qrejufur,0.543,0.8,782,1482
rgawioyr,0.55,0.8,937,1437
aanqukjk,0.469,0.317,256,567
gazbkvwj,0.463,0.875,761,1027
fwrcqrhf,0.463,0.903,581,1858
aahoxeor,0.465,0.889,105,684
jddcaxen,0.532,0.45,298,309
drcahkod,0.575,0.375,50,1384
dwoxgyfc,0.56,0.203,133,1649
knqprfkl,0.517,0.15,210,697
jdaxkdsi,0.331,0.125,878,1667
ryondsxl,0.563,0.2,43,1091
zfnbpnbl,0.599,0.108,493,780
dioyculr,0.485,0.217,472,1073
qgzjczsw,0.671,0.919,143,1109
dnmhdtts,0.639,0.914,965,1283
svfcaoya,0.345,0.986,740,1773
ugdmufdm,0.552,0.247,967,1324
qkmfjrug,0.475,0.042,751,1199
jrrrxrgu,0.445,0.242,677,1807
kjdmkonu,0.648,0.911,499,575
oxhdijqy,0.566,0.792,412,665
amsgtuxx,0.555,0.3,976,1545
vsarngmb,0.537,0.214,224,1032
umkygbux,0.475,0.989,212,1117
xlnyyehz,0.468,0.294,102,1131
gvamnjof,0.611,0.067,678,1301
ffscmglj,0.539,0.144,912,1679
yolkeort,0.527,0.725,775,986
tvrlzddo,0.53,0.644,985,1003
zllbmcns,0.56,0.714,630,1012
qrlzcwko,0.358,0.867,439,1141
cspncsnb,0.642,0.164,151,232
lnqqacvh,0.473,0.042,843,1488
klltviot,0.368,0.025,72,716
xwwtkfif,0.535,0.644,964,1403
wsdxoyca,0.571,0.683,340,651
fqudllow,0.477,0.261,184,720
oeayxbev,0.565,0.95,858,1784
fempwsye,0.658,0.164,808,1198
cwxnzagr,0.501,0.0,309,1338
hwrytiju,0.473,0.169,258,904
rdhpqgum,0.571,0.217,721,1002
yiwxkkpl,0.528,0.392,487,1457
ecabjlod,0.405,0.114,17,1025
jkdzxtmh,0.663,0.358,781,1213
nzjldrlj,0.527,0.6,40,665
dhtxlzuz,0.655,0.2,675,986
cvfbbfcb,0.548,0.083,528,1624
tngpordr,0.537,0.278,967,1043
qrnhsmqy,0.688,0.0,720,1501
fxxjmltm,0.671,0.147,146,763
tbnrmxdj,0.522,0.656,404,679
lwbyelss,0.508,0.978,70,508
kovgqgzc,0.522,0.706,766,1731
bnvtfbcf,0.471,0.125,970,1939
idkmjuac,0.699,0.933,473,1278
jaucxpbn,0.665,0.772,257,1756
ttncgpgc,0.547,0.172,26,71
gjfittae,0.537,0.658,586,1804
sazqukky,0.596,0.781,804,1589
vmyexygf,0.548,0.792,567,1799
wsjkgikk,0.466,0.114,270,1536
hnrimqdp,0.657,0.45,501,1177
xfjhsgrk,0.629,0.192,244,1972
fgkpiuly,0.518,0.142,516,1847
vqvmhhjp,0.662,0.339,129,149
pvhtstjj,0.583,0.225,248,1948
ijzndstb,0.552,0.697,794,1145
dvzjkskv,0.56,0.075,507,1601
nxekzdqn,0.547,0.111,814,955
llrqrdlj,0.543,0.967,366,852
jjwifcbw,0.645,0.522,342,1574
qonaptup,0.487,0.417,624,988
vvkbspnf,0.639,0.514,715,1293
xhwgmmsf,0.496,0.136,282,1283
exksoukq,0.537,0.308,623,1797
qiapgbly,0.476,0.306,824,1440
ngoculjy,0.704,0.236,68,1618
bmsogvff,0.665,0.083,259,505
zchlnkia,0.548,0.103,167,327
inweciyw,0.571,0.767,826,1558
iqplvemx,0.575,0.781,340,1493
rcmbnbhi,0.542,0.078,109,1455
nofscich,0.531,0.919,901,1972
pggkpfma,0.563,0.875,515,1084
beojteql,0.56,0.803,638,1669
qhzsnocs,0.515,0.142,281,1611
tcggnoxu,0.478,0.286,82,511
zjbxqtuq,0.54,0.353,7,1469
yqivlldg,0.485,0.264,571,802
sqeqpnuq,0.644,0.264,958,1558
obsyjpah,0.559,0.261,452,776
ocixcoqa,0.588,0.125,216,1859
ocrgkwge,0.612,0.169,368,901
atzwiepr,0.593,0.064,914,1118
okhawshz,0.562,0.25,890,1395
pxdqeney,0.521,0.489,755,1110
rrsnhukq,0.568,0.183,818,1737
vwmxghqn,0.335,0.419,812,1200
limtvtle,0.665,0.311,536,1607
tqcumzxb,0.54,0.675,433,1420
tbdfwjaq,0.575,0.597,158,618
wpsqusdp,0.581,0.661,192,1663
lwlhtdyj,0.539,0.222,698,1881
cywqgckn,0.493,0.881,544,1717
nbkhycmw,0.461,0.036,806,881
xctocnum,0.543,0.7,101,1951
xknfempx,0.499,0.397,545,1607
todbjrgw,0.581,0.147,647,910
eszeaoxj,0.53,0.392,812,1402
xwryorrv,0.471,0.514,850,1984
mrgdlzfs,0.457,0.419,755,769
pnaecxtq,0.45,0.4,985,1154
kseqzjxg,0.428,0.325,366,1214
xbmttydk,0.406,0.303,524,1720
gaywdmyl,0.558,0.35,893,1692
ulmeaxzg,0.458,0.411,281,1013
lrmnpbbh,0.444,0.414,294,1655
bsoljakp,0.442,0.411,783,1727
hccvxupr,0.429,0.3,845,1248
xhmsbery,0.446,0.378,679,1015
eykdshhm,0.44,0.364,833,1880
fpejpmnk,0.437,0.369,872,1977
jrhhzpji,0.429,0.325,292,1625
ofmosdww,0.376,0.275,948,1699
hgjwszuk,0.607,0.342,991,1871
gwqrlgbz,0.601,0.464,48,714
prdxsblv,0.52,0.333,899,1280
msqwcwrd,0.501,0.297,504,1122
fjbeunhs,0.497,0.975,670,1770
wtpyzbjt,0.463,0.561,545,1360
xsrkrfzr,0.432,0.353,715,1250
msdmtnoe,0.399,0.306,446,906
opxwibfr,0.603,0.539,508,1670
ejzyzbzu,0.596,0.464,373,478
idzygjsx,0.573,0.392,326,1765
drzsuzfy,0.547,0.161,149,842
tffkujlg,0.588,0.189,257,1028
ssthvjko,0.422,0.361,218,1887
siucvpov,0.413,0.356,848,1998
qwpulqnl,0.401,0.331,476,714
gdntpfma,0.599,0.281,90,781
kcxekgwu,0.596,0.386,179,712
zveqtfvt,0.601,0.95,724,1833
zqrqoalr,0.543,0.136,302,1206
xvgdgrej,0.423,0.342,763,958
uydjtpku,0.409,0.358,240,1215
zoypkpfs,0.381,0.225,952,1576
eqirgzvj,0.601,0.125,659,718
zkxsldnj,0.558,0.378,265,853
mfnvokqh,0.604,0.058,828,1265
otwsfcml,0.43,0.356,194,1426
nhskeica,0.39,0.239,720,1063
hbcwrthz,0.421,0.319,332,1974
ezrjkxrj,0.407,0.3,32,862
fubquclb,0.398,0.197,479,1897
hvgqdilz,0.403,0.139,431,1427
mjrkiqvt,0.596,0.222,352,1792
usizbujc,0.5,0.347,785,1623
gngtthbr,0.498,0.453,825,1616
cexzyzeh,0.594,0.156,352,409
vlzgceub,0.507,0.975,958,1816
xgiwsuta,0.411,0.064,310,633
yiwdmjbv,0.409,0.025,728,1507
zwohfcya,0.41,0.025,111,520
hoyndngc,0.49,0.333,119,1886
userlaxw,0.467,0.239,979,1748
ncijpmac,0.622,0.206,336,492
yobndnys,0.568,0.017,940,1659
qmnomymu,0.422,0.25,5,914
wjjdjnol,0.566,0.783,145,1658
zxwpglqc,0.573,0.086,197,556
ldhfpzyt,0.53,0.325,182,265
ifggcesh,0.543,0.717,983,1209
sxvoleqo,0.598,0.75,871,1529
vetlxpxu,0.56,0.208,629,899
rqlxyfcq,0.528,0.225,216,1278
hyxyjgdz,0.449,0.083,733,1756
fkykbbkn,0.429,0.431,855,1112
vsibwqnv,0.535,0.875,782,1212
wixfoyke,0.456,0.264,29,1836
ejxtmned,0.399,0.214,963,1008
osjergds,0.446,0.344,405,1863
oiwwfqkf,0.524,0.125,54,1377
gtpajsst,0.461,0.181,251,458
wypsxwla,0.428,0.564,294,780
ddreqqmq,0.555,0.939,616,1378
wzzmklgq,0.44,0.361,263,839
hssijbxf,0.532,0.358,12,142
vmrtuole,0.467,0.281,706,1746
wppmdzjd,0.603,0.25,900,1123
gpikieae,0.591,0.675,289,1115
wokazjpa,0.515,0.089,171,209
rukhiurz,0.611,0.5,494,1485
neekissp,0.377,0.367,262,1310
znnddqje,0.56,0.375,934,1385
wfjbljus,0.547,0.981,556,640
bfewwbgl,0.457,0.225,789,1610
gbatrvij,0.599,0.25,481,848
ngtynxgs,0.603,0.125,808,1207
qncwyfeo,0.442,0.483,619,1978
lgzlntji,0.409,0.464,87,1721
lifodrot,0.354,0.389,114,432
dtlducfe,0.44,0.394,369,1265
piyssqpm,0.571,0.742,691,1252
yvsobewh,0.578,0.014,34,314
djjgjkmm,0.363,0.953,882,1741
dgkwjvvu,0.522,0.289,309,931
uigthynl,0.594,0.431,806,1098
ankheeju,0.525,0.589,132,1596
dfgunpru,0.526,0.55,411,914
cwxctvxc,0.576,0.3,431,572
nsrdqxae,0.57,0.189,585,1960
sxzknnaj,0.576,0.731,777,1949
fczexsdm,0.575,0.067,435,1330
fhkvkbcu,0.573,0.05,889,1179
yfsnxvfb,0.586,0.225,27,964
hiyqwuxf,0.54,0.8,452,1712
orzcxmgr,0.545,0.769,537,1903
liqvsxed,0.585,0.897,120,394
fhiwmpyc,0.521,0.875,744,1125
yszibjck,0.537,0.267,96,1289
hyqbigze,0.525,0.2,971,1415
kknpjtqs,0.525,0.0,54,1356
nnhejtdz,0.521,0.5,715,1251
fzxhgxvu,0.504,0.397,917,1050
jxrkorns,0.594,0.989,871,1293
nbhgjtnd,0.379,0.042,291,972
uicpsnnu,0.57,0.944,34,548
lkelmabi,0.552,0.767,644,1348
tnabkvhv,0.45,0.444,267,1033
klzjssml,0.394,0.025,736,1558
xssyauad,0.584,0.603,144,1859
esvtlwfk,0.552,0.336,281,1892
zlnbuedh,0.53,0.325,902,1104
pskyurmf,0.416,0.953,96,848
culsuauy,0.401,0.008,70,1475
ugholvos,0.548,0.653,115,127
hhbfvjoq,0.547,0.333,854,1273
trvqvuaw,0.514,0.344,695,901
ulhmydll,0.578,0.939,862,890
mxhdfvej,0.568,0.172,26,249
kptxdspg,0.553,0.394,519,628
xjkwrzvp,0.562,0.131,633,1393
neukcnfq,0.44,0.864,265,1535
ddtqtbkd,0.562,0.014,163,617
unpxvzdz,0.529,0.675,616,1300
hwxrkgfp,0.594,0.375,74,1172
srrdzxqc,0.446,0.75,350,1730
cwoebppi,0.416,0.883,863,1353
prdyulod,0.37,0.247,438,1760
fascmkqr,0.53,0.733,317,686
efzjyyjb,0.558,0.703,865,1309
bgcwxltg,0.379,0.231,169,1006
obmghiuo,0.358,0.256,269,1852
mtlbtigh,0.54,0.053,658,1562
hwiasvjy,0.528,0.125,14,1982
xnpurilt,0.453,0.114,728,1970
wspvydjj,0.463,0.967,83,1830
swplmczz,0.496,0.3,740,1528
creuujjy,0.53,0.656,598,686
akzdmzki,0.568,0.647,143,758
hymbsusr,0.479,0.089,424,1894
xfhxeicz,0.537,0.05,450,1262
ranuvlpp,0.484,0.031,601,855
kerchtyq,0.468,0.131,631,1045
xjssjhye,0.451,0.172,904,1148
kfeahsei,0.421,0.211,621,1028
tpdemblg,0.571,0.661,711,715
oqjusdfl,0.42,0.458,550,1641
srbgvwzt,0.436,0.219,992,1007
mksyjprr,0.398,0.228,513,1412
amtypafd,0.393,0.128,621,737
sombrhdy,0.57,0.7,685,1106
jhulkchc,0.498,0.078,129,1370
argxsarv,0.475,0.175,979,1791
osxbartr,0.387,0.261,7,1856
wnrevypn,0.365,0.422,53,1479
udwmpabk,0.476,0.233,965,1910
bjrblmyw,0.534,0.578,498,985
hcximhxt,0.49,0.197,959,1234
robowhaq,0.415,0.497,328,342
lnkfximn,0.578,0.183,224,258
irtefnks,0.568,0.172,662,947
dhhkrdtx,0.54,0.442,963,1972
kgbbfckg,0.535,0.361,239,540
rkdevfor,0.496,0.297,925,1103
hoehpwaw,0.545,0.339,390,639
wwtteoio,0.369,0.092,422,1212
dutbmqzq,0.54,0.125,54,265
khhbzsnr,0.473,0.122,840,1395
owbttfvx,0.608,0.144,158,1763
pmcvvlpu,0.537,0.15,255,1035
dbzfmjdm,0.505,0.081,392,776
aghuuinj,0.503,0.356,826,999
sryoxqpk,0.544,0.978,619,1591
mbscqvxl,0.581,0.069,835,1266
uydjomgc,0.58,0.136,23,1396
ebygkyqh,0.502,0.536,342,1149
ugfhltqa,0.56,0.433,110,830
atpqghgo,0.543,0.175,381,1053
iokcwxxj,0.38,0.019,95,363
rmmltqeh,0.555,0.333,395,1163
dlcrlujv,0.438,0.258,240,1964
xxkrgdhh,0.435,0.231,590,1691
pzdewgcq,0.452,0.528,379,1075
rtafdibe,0.532,0.75,217,723
ytbxfhbx,0.534,0.169,739,1528
qxqxqqft,0.552,0.961,143,1267
vmyuzvzn,0.383,0.508,905,1975
wjdgufxo,0.529,0.297,891,899
aftblxqe,0.393,0.958,448,1318
jnppyubs,0.393,0.125,362,1635
ynkzhacl,0.583,0.067,418,1008
hphesfpy,0.396,0.111,978,1313
zldpvipl,0.539,0.642,475,1301
pdyaxlbh,0.477,0.353,109,1046
cnbtlbjz,0.379,0.956,85,500
wsorcycr,0.547,0.781,339,1568
pvrwysqe,0.555,0.794,8,1297
iskcpmdx,0.567,0.633,713,1124
elxehahz,0.559,0.344,584,1007
igyfhpea,0.469,0.364,313,1666
knmeqpmd,0.548,0.864,110,397
dhgpsnhv,0.529,0.486,170,238
dxdkyktp,0.481,0.2,25,621
deeqrwww,0.468,0.497,208,1016
masfzqdi,0.401,0.739,131,148
mvpmjuvr,0.467,0.331,841,1407
mhprramr,0.559,0.875,674,926
qnvcvzqi,0.474,0.319,335,1162
spdlrczc,0.625,0.242,734,759
ceyvbpbz,0.625,0.147,592,1977
iqntruvj,0.467,0.303,858,1798
rinaepgt,0.458,0.336,873,1536
tudoqvyh,0.627,0.039,278,1660
fvypaxup,0.53,0.947,634,1503
xubdeops,0.449,0.358,613,1649
vqhfjyex,0.547,0.114,409,413
kabxpyxc,0.453,0.253,513,540
lpexlmuu,0.447,0.303,621,1397
zylbekff,0.443,0.339,1,875
dpwtoprv,0.439,0.383,974,1988
lelbbpnz,0.548,0.433,927,1136
sljbxmbm,0.402,0.383,617,1032
cxetpvrn,0.565,0.192,952,1839
ukznoypo,0.553,0.2,524,1227
lmtftgvf,0.402,0.328,461,1923
focwicsz,0.371,0.178,882,928
dmcqbpwc,0.542,0.197,325,1695
pjmlkjvk,0.43,0.25,341,1184
ingeiwrn,0.418,0.467,198,1148
pktvikvn,0.405,0.086,690,1656
pbkivfff,0.447,0.286,386,1692
ydfvhsro,0.431,0.281,821,1832
dgyzsluq,0.414,0.394,911,1873
vlmhfycv,0.409,0.331,664,1088
pdqkdjcx,0.376,0.375,98,348
lsbqmhru,0.424,0.381,80,397
swmktywo,0.425,0.897,731,1488
zbejygnz,0.409,0.183,785,1115
hdyqdwum,0.671,0.194,780,1890
qgratogj,0.415,0.333,241,1757
xjqbmnbg,0.413,0.031,578,700
wxnduzyk,0.413,0.964,475,1874
lryidnii,0.428,0.914,17,270
cdcqlxxk,0.454,0.106,721,1672
znqeddzn,0.418,0.281,495,1347
tilyibtq,0.416,0.097,76,981
ghmvpsbn,0.455,0.019,806,1285
prwepmvd,0.468,0.35,111,1673
tdyogrgn,0.441,0.922,436,1567
oexgnqvz,0.575,0.661,67,795
aeasnmwp,0.553,0.233,79,1575
gdiqvkmv,0.462,0.922,530,1377
ndhngjhu,0.461,0.156,439,1583
bdehizji,0.458,0.111,31,230
wurlepka,0.461,0.108,145,874
cvjeixea,0.367,0.019,513,1611
wuupjcvp,0.645,0.333,772,1544
uymypezv,0.593,0.958,149,521
kcykrcsc,0.53,0.211,827,1938
ldkhjqzw,0.464,0.144,718,1541
ucrswjwh,0.461,0.036,690,1514
olkyuexa,0.461,0.972,679,1258
eucrsojg,0.507,0.219,590,1208
wwnzxykf,0.469,0.075,146,176
lbwlvcnq,0.466,0.15,363,1324
tmwgdjvo,0.455,0.297,679,1725
maripzpu,0.43,0.133,377,548
jobzuzms,0.452,0.992,969,1673
dhhuxkru,0.576,0.203,537,565
tldlppzw,0.548,0.181,372,664
rcclbmxy,0.645,0.375,839,1354
hwunmgmx,0.475,0.311,199,1661
erlezyzl,0.476,0.978,933,1053
wbzehcfc,0.673,0.167,368,1563
pvgsagdw,0.517,0.133,909,1266
qttinbhe,0.532,0.814,420,1648
btdzrohd,0.485,0.978,940,1332
mntlhurd,0.37,0.908,981,1952
rtyfatzh,0.557,0.967,269,1041
ktxbhcfn,0.488,0.967,255,906
jrzfkddd,0.476,0.117,337,1452
qodpcboc,0.413,0.392,293,1846
gmecorhs,0.377,0.108,214,390
ltmyovpg,0.394,0.65,145,1480
lribebpk,0.404,0.264,186,748
zaryvkoo,0.542,0.847,645,1368
drflhqii,0.556,0.944,19,486
owwvwrty,0.482,0.856,659,1317
fdxzsohs,0.401,0.167,560,572
nojzevfg,0.414,0.939,785,991
wozxohjv,0.622,0.236,302,1947
pmfghcfy,0.588,0.139,701,1055
jxcyfgjj,0.412,0.078,572,1143
jslhlpmp,0.509,0.953,641,1968
mrlgutyj,0.472,0.994,718,885
