name,elevation,aspect,time_in,time_out
krwwhesl,0.475,0.275,41,63
rwvhaneq,0.491,0.425,945,1295
hjbkdmkd,0.468,0.219,473,1149
pbnexwbe,0.444,0.397,268,1297
jvrjugcg,0.494,0.978,742,1317
krbpbssf,0.491,0.039,289,957
pwzinmxo,0.339,0.117,443,1642
vymcxxac,0.501,0.994,346,771
llsjcmyn,0.48,0.922,902,1657
vrujnubt,0.471,0.05,259,1815
bkmdviuq,0.466,0.175,652,1823
vpmangoa,0.443,0.85,367,1620
wngympmy,0.328,0.283,567,1595
vpnaagjx,0.465,0.036,506,1212
kipvncvd,0.352,0.983,477,1712
qdswbhmo,0.607,0.481,596,1396
gtwjbhwt,0.56,0.197,40,222
abpsolpz,0.501,0.086,178,223
trljopxm,0.604,0.456,995,1614
mljrqbax,0.473,0.2,268,1116
qyhoxmcr,0.352,0.164,895,1577
caqocwad,0.354,0.094,573,811
lyhxdjsy,0.57,0.125,9,462
otauhxki,0.413,0.233,667,1245
txbtxcge,0.409,0.117,42,1294
ybhcdyxv,0.502,0.283,915,1807
eyeiumpu,0.358,0.472,8,158
wzbnnvis,0.326,0.586,16,1083
ifyxruoj,0.604,0.089,780,1963
qzrqdaob,0.525,0.158,949,1840
haorzogt,0.502,0.967,714,875
lhqjvnlx,0.354,0.925,441,1167
laejzarb,0.662,0.292,595,718
emmtfftk,0.48,0.9,771,1631
hdrjqjkd,0.447,0.922,424,908
kykeijus,0.446,0.244,907,909
pfslzavn,0.355,0.283,263,1795
mbsvnmzs,0.668,0.308,555,1104
lnzcpupn,0.562,0.147,42,368
bcuyepms,0.496,0.161,305,929
vgijzlcg,0.364,0.211,787,1438
pozkiwdc,0.489,0.047,376,1381
wyhxbzay,0.432,0.275,37,361
vrrnjlwv,0.606,0.0,959,1064
dfjtfmzh,0.599,0.344,526,910
ifczkppj,0.48,0.331,304,389
iypuwjdk,0.494,0.889,814,1517
icpfxjun,0.374,0.311,747,771
psrinuas,0.517,0.231,953,986
tfrypxxc,0.429,0.003,491,1916
kqzquqtx,0.393,0.347,330,621
qiuepquf,0.377,0.103,756,1052
ibfrehiz,0.535,0.989,679,1218
kefonaug,0.454,0.853,415,670
mclihovu,0.566,0.136,849,1289
ogwlzczg,0.54,0.156,189,1668
pqrliphh,0.339,0.019,43,1804
yzdhllog,0.63,0.331,70,598
vlwtgflx,0.542,0.961,631,1955
odvcvskh,0.514,0.033,372,545
jdhjggzv,0.458,0.956,212,1259
kxjbseqa,0.316,0.219,631,1725
koyescol,0.624,0.633,181,259
tphnuojg,0.486,0.789,901,1738
wdgxphxa,0.489,0.311,169,839
vnakcbhq,0.516,0.831,721,1230
odpxbjuj,0.483,0.375,390,806
rhlgtstx,0.435,0.375,774,1749
iosnlpvt,0.552,0.244,967,982
rswhgtww,0.642,0.611,291,456
qgxigzmw,0.494,0.006,801,1783
lakjzocq,0.339,0.094,379,896
rwalrxdh,0.655,0.264,169,1735
hoauzpqf,0.534,0.803,381,1114
dselrgim,0.517,0.058,211,738
fgmztwfy,0.414,0.056,234,1998
gijwqthf,0.625,0.586,685,1716
loulzqhd,0.63,0.556,210,1411
gugzhikt,0.529,0.969,388,790
eydfupni,0.468,0.05,829,1017
blbakihe,0.348,0.161,950,1801
fyazzdkb,0.32,0.117,582,750
eccwaafd,0.584,0.481,546,1070
lnomtgbd,0.619,0.444,95,144
qquwcbem,0.529,0.292,479,1588
vewfxyjq,0.366,0.117,901,1582
jvpbcwdd,0.663,0.911,532,994
hddsmfpg,0.581,0.614,385,741
kyozptvg,0.612,0.714,423,1465
uejenrbi,0.501,0.767,247,1774
cozoaxbt,0.575,0.544,915,1115
klayeoww,0.588,0.525,484,1590
rntzmksz,0.507,0.361,460,643
sdjcsvwk,0.662,0.136,23,1753
bvqpdtkw,0.57,0.283,677,1351
gnovmiqp,0.4,0.992,459,1157
oolbrhbc,0.658,0.042,543,767
bhelgkgz,0.547,0.022,113,333
nowijflo,0.382,0.264,664,1481
mlgtdfyl,0.548,0.8,48,299
gjosniux,0.489,0.183,926,1858
zbkyjyth,0.662,0.125,124,1148
uixbgrsa,0.609,0.358,935,1723
bicyehpj,0.448,0.889,120,1698
zxuvbgqj,0.594,0.078,42,501
ytikyulv,0.511,0.239,618,1265
bwbyhknb,0.681,0.811,361,1752
dtkunscy,0.662,0.319,853,1166
ujlyydga,0.603,0.081,253,1794
cfrwanhu,0.484,0.922,108,1547
gtrwkjuw,0.33,0.297,900,1678
jcbttuvf,0.596,0.5,356,685
dhxzxpzo,0.624,0.989,852,1639
gscmezkz,0.568,0.481,714,879
lfacpukx,0.431,0.456,269,412
kcarhduc,0.662,0.322,689,868
nzypkuyj,0.433,0.367,504,1412
jxqsuqak,0.328,0.25,607,817
xgbzfgij,0.579,0.128,704,1652
ngagoinf,0.609,0.711,212,608
dvlrahtc,0.535,0.939,360,958
yyjfykxs,0.438,0.353,707,1894
qwtxelmc,0.517,0.886,540,1261
rxniiust,0.686,0.125,43,1077
hvquejcq,0.351,0.247,723,1233
zgjxgfsc,0.652,0.119,115,427
eqajxoou,0.562,0.522,339,797
zbbdqgqy,0.436,0.183,174,1102
djmcjkct,0.657,0.139,79,1928
lmqhtnsz,0.529,0.383,764,1586
arwcuedt,0.516,0.175,847,1996
zwvfztrc,0.423,0.125,690,1598
njhnniru,0.67,0.064,289,1211
mdevrstw,0.563,0.594,11,1636
lcevblhj,0.576,0.897,978,1269
kxdrzlet,0.583,0.867,912,1633
mczbihwv,0.452,0.019,199,1558
emfzlxde,0.693,0.156,387,860
ltkqmrnm,0.548,0.025,818,1374
womlmzfs,0.671,0.028,931,1885
uxhgrrxk,0.557,0.1,81,174
nxvpodlt,0.563,0.464,424,1803
jhdgcqmg,0.34,0.064,279,590
vcdoyrbt,0.571,0.722,473,1072
rvefznog,0.547,0.142,638,642
fcouuray,0.552,0.586,145,1415
ftisxtrr,0.573,0.0,10,1605
luefpboz,0.434,0.125,449,1204
efwuehan,0.573,0.464,347,1656
tykndexy,0.514,0.061,301,507
kzygtfiy,0.583,0.956,580,1405
bjnjldxs,0.588,0.519,252,1280
zlkxvrdv,0.522,0.775,120,1875
dpbbncln,0.534,0.681,446,1126
recqnjqy,0.542,0.556,866,1431
ncjytgfl,0.566,0.15,452,1134
ieondetd,0.442,0.322,125,1804
surlgysl,0.374,0.989,576,1533
jyfcbxmt,0.693,0.906,347,399
euopcylo,0.689,0.075,932,1407
wtpfavwr,0.379,0.997,382,1488
fuywtjtp,0.527,0.044,73,1094
ksjdrjcc,0.477,0.133,795,1356
kqzovblk,0.336,0.414,418,547
noknjkzi,0.701,0.125,72,1951
kjaklvqi,0.594,0.25,580,1363
vyknpmla,0.548,0.167,679,1827
yryyxnxo,0.517,0.214,454,877
fmejyjlm,0.553,0.106,251,1285
oytnzrmf,0.589,0.639,64,652
ktkaxbkk,0.584,0.422,859,1770
kwevivmc,0.449,0.194,316,1476
qsiewmwf,0.54,0.903,720,1798
rqdbxyvh,0.67,0.35,373,1633
eighidcl,0.668,0.25,433,455
ouzwhrva,0.558,0.617,457,651
xxiflfcs,0.516,0.233,154,1255
cvmjmyhy,0.58,0.303,756,1013
edybzbwp,0.576,0.236,591,777
rydkmjlf,0.681,0.219,232,1190
mtmhtlue,0.573,0.375,2,1949
lyyublhk,0.357,0.136,593,723
ydhnnkeh,0.701,0.356,226,302
blurppmd,0.655,0.069,645,1299
igwojwkb,0.51,0.969,665,1472
zxyaooji,0.67,0.025,924,1405
eclativx,0.558,0.722,900,1244
zmzsujxd,0.66,0.106,199,1842
jncvmqfn,0.568,0.489,913,1206
mawzikka,0.527,0.4,741,885
sdbhwdbl,0.562,0.486,29,1121
ezfcuitl,0.543,0.581,129,1116
monjbflu,0.568,0.397,553,1974
uqkubgeb,0.542,0.0,913,1059
fwkzymww,0.543,0.8,772,1724
uxexyhdz,0.55,0.8,199,836
tlffxbdj,0.469,0.317,600,1205
dilggzfk,0.463,0.875,23,726
knmdidee,0.463,0.903,835,1838
cwcaxvwh,0.465,0.889,315,662
mvhvaqqp,0.532,0.45,512,1630
jjjniror,0.575,0.375,926,1117
ljthqpiq,0.56,0.203,259,1827
iqdikook,0.517,0.15,278,551
xhbgrtuo,0.331,0.125,848,1637
kwzkcull,0.563,0.2,797,1649
tbfyflqy,0.599,0.108,244,694
wgmspsme,0.485,0.217,661,1710
pjhlbigi,0.671,0.919,825,1889
fvjqzswf,0.639,0.914,762,1633
kpecpzpi,0.345,0.986,116,1342
nfieixdw,0.552,0.247,440,600
gtmhkmex,0.475,0.042,420,793
rsrgtcol,0.445,0.242,773,1576
lmgkapvv,0.648,0.911,923,1171
kuivbsom,0.566,0.792,985,1749
eyvqyytx,0.555,0.3,33,1079
ponzwszc,0.537,0.214,146,150
nsyoducs,0.475,0.989,786,1221
pekjbfdo,0.468,0.294,419,1029
aftfinvb,0.611,0.067,133,722
idoyuymu,0.539,0.144,794,1567
pmbhvawl,0.527,0.725,596,1025
naejbymy,0.53,0.644,433,1614
nqfyxcms,0.56,0.714,675,1249
qanuocbk,0.358,0.867,49,555
mydrszxk,0.642,0.164,387,606
mbrvqlxj,0.473,0.042,815,1825
jzaebgbs,0.368,0.025,907,945
ccacagqv,0.535,0.644,977,1356
sxsnztxa,0.571,0.683,66,1354
leqtmqoh,0.477,0.261,554,1618
uymsjgtr,0.565,0.95,430,1361
eudefjvt,0.658,0.164,512,654
usbwrhln,0.501,0.0,75,1575
oqbzkewx,0.473,0.169,324,380
ysozzzix,0.571,0.217,763,1816
ateylkzu,0.528,0.392,684,693
rvwaunzc,0.405,0.114,366,1764
lvpikkpq,0.663,0.358,911,1618
opvpreav,0.527,0.6,225,1053
eqdrhyiy,0.655,0.2,368,1512
bozpulyp,0.548,0.083,927,1925
cwvbdctj,0.537,0.278,656,1001
dfzqhmsd,0.688,0.0,183,601
hcplproc,0.671,0.147,772,1479
zjewzjix,0.522,0.656,751,817
hsgawkoh,0.508,0.978,509,1525
mrfkjxqd,0.522,0.706,675,1950
yihvfyby,0.471,0.125,702,1062
sxzahduz,0.699,0.933,307,1047
dukjmzzr,0.665,0.772,636,643
mtyrjczu,0.547,0.172,259,964
ldtqcdlg,0.537,0.658,119,415
wpdawsrc,0.596,0.781,904,1903
nhzssurt,0.548,0.792,933,1979
mworvllc,0.466,0.114,180,587
bugmpfws,0.657,0.45,192,837
qpfiinon,0.629,0.192,996,1879
xwsvpkxt,0.518,0.142,798,892
ajouispl,0.662,0.339,327,1033
jbupancb,0.583,0.225,462,1593
bwrqzecx,0.552,0.697,998,1506
nktqkbbz,0.56,0.075,113,929
rbfrjuhz,0.547,0.111,821,1995
qciwoeyh,0.543,0.967,290,1527
sdpcswmx,0.645,0.522,311,817
qebyzcue,0.487,0.417,277,1679
vialwpij,0.639,0.514,819,1548
osdxrxqd,0.496,0.136,1,184
coozsrpi,0.537,0.308,707,1543
iobnwdlf,0.476,0.306,854,1472
qskrgrrn,0.704,0.236,380,1469
brkacbkr,0.665,0.083,281,1331
qxwwsmaf,0.548,0.103,370,1665
zdlabumz,0.571,0.767,205,1810
qfvbimol,0.575,0.781,975,1893
idxxptoq,0.542,0.078,294,595
lsgwdtfe,0.531,0.919,568,1117
virwnyby,0.563,0.875,593,1854
ikddkvet,0.56,0.803,736,1740
bosepuqj,0.515,0.142,121,1258
wsowqcdl,0.478,0.286,917,1620
kgkhfesn,0.54,0.353,211,401
vhxhnvfg,0.485,0.264,865,1621
hlxqlami,0.644,0.264,984,1217
tpbinjjk,0.559,0.261,909,1666
iuefbwev,0.588,0.125,10,459
eshfrvqp,0.612,0.169,354,1522
ujdqajzi,0.593,0.064,839,1759
stlhrbxq,0.562,0.25,512,798
qsvhyguy,0.521,0.489,909,1048
xfxurelu,0.568,0.183,164,960
qgxyjbwp,0.335,0.419,894,1401
ovvakuxd,0.665,0.311,714,837
amonochn,0.54,0.675,260,735
brqxqqil,0.575,0.597,290,1942
hsnstcqw,0.581,0.661,231,1442
yytebujm,0.539,0.222,831,1218
amrvoyuh,0.493,0.881,558,1642
fyvzjhnl,0.461,0.036,549,1247
vnoftbej,0.543,0.7,510,1647
udchgkba,0.499,0.397,30,1074
djpvqlgs,0.581,0.147,572,1772
ecalswix,0.53,0.392,242,1050
ulmvlbch,0.471,0.514,548,842
lboazazl,0.457,0.419,293,1240
rnqlzcua,0.45,0.4,118,790
daqxhcdp,0.428,0.325,93,1040
fwtignkf,0.406,0.303,386,402
kpnwijzn,0.558,0.35,200,1948
whqcagig,0.458,0.411,751,1376
addcitwv,0.444,0.414,601,1149
srdwieni,0.442,0.411,24,719
tafnpkwd,0.429,0.3,612,646
tlkdxlwa,0.446,0.378,628,804
bwbabpxp,0.44,0.364,289,495
uypqetmc,0.437,0.369,695,803
hgwiyvkq,0.429,0.325,260,275
rmgkvvat,0.376,0.275,218,445
mzxyblox,0.607,0.342,311,1977
lcmrsdal,0.601,0.464,547,1265
kymyycmo,0.52,0.333,44,568
aukodmfq,0.501,0.297,906,1954
mdcgchqc,0.497,0.975,704,1357
iwbgenxz,0.463,0.561,461,1467
serortys,0.432,0.353,922,997
crtxbtze,0.399,0.306,101,263
mkwenqqi,0.603,0.539,642,1771
xdgcjgeb,0.596,0.464,158,1578
ckkjbxei,0.573,0.392,751,1909
lgxeixyx,0.547,0.161,898,1797
syokjqrh,0.588,0.189,821,1635
rrpsefdu,0.422,0.361,928,1010
fbmylbjn,0.413,0.356,479,1795
ztsijfby,0.401,0.331,6,1808
eeidltut,0.599,0.281,229,473
psdukxen,0.596,0.386,401,1219
ahnzhlnx,0.601,0.95,724,1142
nzorrpki,0.543,0.136,618,1512
beexkbck,0.423,0.342,265,1161
pemphtyg,0.409,0.358,613,720
cvkrwinn,0.381,0.225,301,920
csvqksrr,0.601,0.125,995,1696
rzzwrqxc,0.558,0.378,816,1504
fibfweur,0.604,0.058,698,1737
qyfkwfpi,0.43,0.356,282,1685
gfzzuwwp,0.39,0.239,377,808
iwhpejhl,0.421,0.319,314,1854
hnxrbqat,0.407,0.3,565,1604
yduidhzm,0.398,0.197,890,1991
ihizjkbe,0.403,0.139,764,1903
vqodfzmq,0.596,0.222,993,1896
poaontyo,0.5,0.347,806,1065
jmfytray,0.498,0.453,130,1942
ludfqtay,0.594,0.156,982,1710
ufhzwjgr,0.507,0.975,882,885
wtiuvruf,0.411,0.064,293,1352
bbvuctxm,0.409,0.025,310,669
eeiwdcpo,0.41,0.025,796,1235
wldvxdpk,0.49,0.333,488,1854
ajjjxzox,0.467,0.239,667,1251
uqhpxiwc,0.622,0.206,930,1881
pmmfdixf,0.568,0.017,464,1646
htlutxkh,0.422,0.25,995,1365
gqsvpviy,0.566,0.783,512,780
kauyttid,0.573,0.086,587,1354
rxqhrudu,0.53,0.325,739,1612
gngrlwzr,0.543,0.717,543,1342
iwpntgmx,0.598,0.75,642,1396
yjsuekvx,0.56,0.208,716,1873
ievuteyo,0.528,0.225,976,1050
xstssejp,0.449,0.083,719,1485
srnkdrzy,0.429,0.431,216,1931
iyeecjew,0.535,0.875,970,1539
xyshhqxq,0.456,0.264,162,1060
elzcfxfp,0.399,0.214,535,1946
lzvmypmy,0.446,0.344,903,1754
nahkfoxg,0.524,0.125,323,1175
abscymyf,0.461,0.181,426,972
ivsxsqaa,0.428,0.564,851,1806
ulygmwua,0.555,0.939,10,334
yxrnkmzr,0.44,0.361,30,1567
cbylkwtv,0.532,0.358,699,1195
jnsxxvbo,0.467,0.281,918,1003
faaanbfm,0.603,0.25,173,628
snjkwane,0.591,0.675,329,1087
idupamzu,0.515,0.089,266,675
qzocljfi,0.611,0.5,898,1673
ygcaiuuq,0.377,0.367,697,1469
jnpkfzkz,0.56,0.375,847,1026
xfertddy,0.547,0.981,184,758
xfgtwscw,0.457,0.225,157,874
rhymdxvl,0.599,0.25,747,790
zlivxhnf,0.603,0.125,105,554
ygrjdoot,0.442,0.483,382,479
fbjfokqz,0.409,0.464,395,566
qjrygjqg,0.354,0.389,970,1818
iyvfteww,0.44,0.394,498,861
hmgvuxor,0.571,0.742,633,1425
kmwyhsyw,0.578,0.014,582,1314
krdwjaew,0.363,0.953,329,1251
qolpaqjy,0.522,0.289,563,1078
txqbdjsy,0.594,0.431,19,887
jjbigrta,0.525,0.589,803,1432
wnmjfvyj,0.526,0.55,818,1306
rdzbwnmj,0.576,0.3,624,1626
qlhjmwuz,0.57,0.189,289,644
ycogoatx,0.576,0.731,892,909
ylnujisf,0.575,0.067,69,760
evkwgkkn,0.573,0.05,108,1878
ljgpnfzg,0.586,0.225,797,1796
pzmawmtq,0.54,0.8,62,215
mpxkmnzw,0.545,0.769,505,1543
regjatcd,0.585,0.897,272,961
jegzcbtn,0.521,0.875,165,1663
byxgtgmq,0.537,0.267,727,1166
rzsnsbru,0.525,0.2,599,1980
xxftretx,0.525,0.0,482,744
igdwagxb,0.521,0.5,266,373
zdbcwapf,0.504,0.397,261,1360
nsyytrpb,0.594,0.989,382,1803
iiybgdia,0.379,0.042,70,1302
ffmiozwp,0.57,0.944,977,1558
yruiddfg,0.552,0.767,132,612
orwfioyc,0.45,0.444,60,1127
wzhvdwry,0.394,0.025,936,1908
phhpbyua,0.584,0.603,160,524
blathqgp,0.552,0.336,16,43
motgxnfj,0.53,0.325,825,1511
xcaspbrk,0.416,0.953,132,1881
ylgocgpu,0.401,0.008,245,1658
lwtkdszu,0.548,0.653,454,479
urkxesgy,0.547,0.333,939,951
vxzbynbe,0.514,0.344,361,1330
kezqmnai,0.578,0.939,429,726
xumjvscf,0.568,0.172,571,1220
kpvviaia,0.553,0.394,960,1467
grxsfevk,0.562,0.131,200,1328
qmpbnzps,0.44,0.864,934,952
yehrkjav,0.562,0.014,464,1387
idtywjot,0.529,0.675,440,742
uvbkufjo,0.594,0.375,389,1472
atxobrpv,0.446,0.75,788,1454
uvdehsfg,0.416,0.883,297,1711
cpuutjjn,0.37,0.247,777,1572
rrffkjyt,0.53,0.733,89,382
tvtkadfe,0.558,0.703,130,396
ycrgmmhp,0.379,0.231,460,1070
qaadogvi,0.358,0.256,76,1051
cqrvipxo,0.54,0.053,4,789
lwntqnjv,0.528,0.125,268,798
fccrwxtg,0.453,0.114,135,1465
dzshwayu,0.463,0.967,363,1323
ewrhqjta,0.496,0.3,819,1415
tjjppbzh,0.53,0.656,192,757
vyottxte,0.568,0.647,148,1030
zvgcvezd,0.479,0.089,816,1382
ofsapbie,0.537,0.05,432,611
svrmvfcq,0.484,0.031,656,1682
xiegcywg,0.468,0.131,29,306
odititow,0.451,0.172,800,960
qhgguwtp,0.421,0.211,632,1827
systqcpg,0.571,0.661,825,1907
xrkzffws,0.42,0.458,59,1583
ytfkpyey,0.436,0.219,863,1835
gwwtjxpi,0.398,0.228,953,1038
geeymxhq,0.393,0.128,805,1879
kadstabn,0.57,0.7,522,1871
sfbvsmcc,0.498,0.078,626,848
jzbikyrc,0.475,0.175,601,1375
wffqrkky,0.387,0.261,409,993
lztizcsq,0.365,0.422,751,900
plnpsgtq,0.476,0.233,229,1361
qkdgpict,0.534,0.578,243,526
jwsbyacx,0.49,0.197,571,934
dtrkjiuf,0.415,0.497,703,1800
tlncdyng,0.578,0.183,217,1045
zvckljcu,0.568,0.172,977,1169
uywqltvt,0.54,0.442,659,1616
pdhjhzmz,0.535,0.361,65,1542
mzqfmdsw,0.496,0.297,714,967
dcfhxoib,0.545,0.339,588,1297
qmopuslh,0.369,0.092,47,524
hmfubdeh,0.54,0.125,91,638
kzxyyaik,0.473,0.122,933,980
sgdaaawi,0.608,0.144,879,918
xrxkzglu,0.537,0.15,111,862
xtofqtqz,0.505,0.081,791,1352
gscqfaur,0.503,0.356,359,528
qskyuddf,0.544,0.978,31,427
rxdyhcdu,0.581,0.069,226,954
gacmhumo,0.58,0.136,630,826
wyzzaemd,0.502,0.536,264,1355
xsflwewu,0.56,0.433,575,1900
cgdghqyr,0.543,0.175,617,1441
qcdrmotw,0.38,0.019,223,1125
gwdobveb,0.555,0.333,565,1426
ypaidllt,0.438,0.258,306,765
bditpntr,0.435,0.231,121,198
coztwufy,0.452,0.528,30,1984
rfuimxhc,0.532,0.75,163,819
hajnkzug,0.534,0.169,960,1883
zshzyjsd,0.552,0.961,517,1345
xpuaslir,0.383,0.508,919,1703
verbtxti,0.529,0.297,523,1577
avykmpxj,0.393,0.958,11,838
eudnqnoa,0.393,0.125,656,814
ffzwtpzj,0.583,0.067,804,1153
erenzmcz,0.396,0.111,923,1561
prgjwvba,0.539,0.642,367,1972
knrhgnmm,0.477,0.353,164,308
rrfpkujp,0.379,0.956,28,1077
zgffbyof,0.547,0.781,583,1695
kwpwpttd,0.555,0.794,208,549
aimapzfr,0.567,0.633,220,556
pfkpcsfu,0.559,0.344,301,1764
uymvgjqx,0.469,0.364,960,1659
bobrzhlm,0.548,0.864,447,957
ljrkbuxf,0.529,0.486,738,1358
egoyglug,0.481,0.2,832,1758
mxhxlots,0.468,0.497,761,956
tckfzsem,0.401,0.739,115,1164
tqlbvfug,0.467,0.331,917,1995
encjyewq,0.559,0.875,40,888
idxogzem,0.474,0.319,30,417
lvrensen,0.625,0.242,60,127
mgzrzsjh,0.625,0.147,947,1563
kukbxrbd,0.467,0.303,172,1984
pydgpnsa,0.458,0.336,78,1621
rsmklyzj,0.627,0.039,863,1282
yvpauzdy,0.53,0.947,205,1369
pvvmtnhj,0.449,0.358,218,1588
izvnxlaa,0.547,0.114,194,1419
jxrtclfx,0.453,0.253,630,1866
emrgrxif,0.447,0.303,135,901
gratymnu,0.443,0.339,198,378
duoryntt,0.439,0.383,757,1574
mszrclon,0.548,0.433,63,1909
xsmxlqhl,0.402,0.383,724,726
qpluatup,0.565,0.192,153,1106
texiirjo,0.553,0.2,932,1140
yueirmzf,0.402,0.328,91,436
vmtfcvlm,0.371,0.178,466,1050
urezktew,0.542,0.197,892,1946
eghguors,0.43,0.25,530,1699
dvpykmis,0.418,0.467,927,1904
bkbdkdnl,0.405,0.086,152,1618
lrnwcdru,0.447,0.286,740,1964
llmzfldu,0.431,0.281,536,1174
njdumyfp,0.414,0.394,850,1968
yapwefcq,0.409,0.331,241,1187
wgashjzy,0.376,0.375,825,913
yshgjlfq,0.424,0.381,165,1106
ilecgypq,0.425,0.897,847,1016
rqtoqrvt,0.409,0.183,357,576
jyznmsmt,0.671,0.194,138,1156
rvqkzahy,0.415,0.333,423,1412
bqaatjan,0.413,0.031,928,1375
okpgldsf,0.413,0.964,882,1718
ewrgbbbq,0.428,0.914,580,1352
hawfgmzz,0.454,0.106,135,818
cracmmnh,0.418,0.281,266,1962
qoxyjzli,0.416,0.097,846,1326
xxciisgy,0.455,0.019,414,977
kexhbont,0.468,0.35,542,1362
ainzdyzi,0.441,0.922,649,764
luqtfdoq,0.575,0.661,617,1230
stnwlssf,0.553,0.233,552,1263
ugvemxun,0.462,0.922,482,589
ylhxksxv,0.461,0.156,947,1936
ezqgjopw,0.458,0.111,933,1526
zrsvzqzy,0.461,0.108,64,704
ierxrzjw,0.367,0.019,532,1205
qcvrxdjq,0.645,0.333,244,1753
wglifehe,0.593,0.958,570,695
dvhwiixd,0.53,0.211,619,1916
imdgskbp,0.464,0.144,719,843
zbnziisa,0.461,0.036,658,659
xyrumaig,0.461,0.972,297,867
abvpsmlb,0.507,0.219,642,1393
fsldewkz,0.469,0.075,764,868
zviohpaf,0.466,0.15,788,1835
imhbyroj,0.455,0.297,298,508
qpbbnqqs,0.43,0.133,332,498
vyxxaams,0.452,0.992,660,997
ywduxduj,0.576,0.203,106,1224
dxbgdbaq,0.548,0.181,570,1448
imdusrrw,0.645,0.375,553,1354
lveysiqu,0.475,0.311,818,1419
wjxhyyxl,0.476,0.978,319,1420
ccquxspn,0.673,0.167,289,1999
ewziodcn,0.517,0.133,936,1946
zplmjlmr,0.532,0.814,36,1401
mswttync,0.485,0.978,169,957
xscwdruw,0.37,0.908,548,1336
impjrcdt,0.557,0.967,349,1531
iyveadtu,0.488,0.967,857,1722
lewftnsv,0.476,0.117,457,1932
qqmolwiy,0.413,0.392,318,1726
iinaclme,0.377,0.108,396,1210
vhefqaje,0.394,0.65,748,1007
zggxnoth,0.404,0.264,654,1029
htyxpfus,0.542,0.847,523,611
xliovvmy,0.556,0.944,757,768
yxusmbdr,0.482,0.856,396,1149
zppwbmbv,0.401,0.167,335,340
wuvyalrv,0.414,0.939,321,1885
pkyhjujn,0.622,0.236,450,1845
onpyjjbz,0.588,0.139,316,458
lxodnraa,0.412,0.078,635,1011
worhnbus,0.509,0.953,733,1628
qrjojrmk,0.472,0.994,700,1692
