name,elevation,aspect,horizontal_distance_to_roadways,time_in,time_out
xhsruccx,0.552,0.244,0.856,137,295
kqpnyzag,0.642,0.611,0.873,113,1495
zrpzbari,0.494,0.006,0.528,604,770
akrbtpxu,0.339,0.094,0.175,62,811
vfitgvpm,0.655,0.264,0.686,616,1798
lmmhmcjj,0.534,0.803,0.72,548,1170
ptnfaaml,0.517,0.058,0.577,871,1039
glcnnken,0.414,0.056,0.279,33,1832
exagqajf,0.625,0.586,0.856,292,1664
kkhxlzxa,0.63,0.556,0.885,155,351
wslahamu,0.529,0.969,0.628,17,242
stygmcbl,0.468,0.05,0.427,478,1668
naiwxjda,0.348,0.161,0.173,634,1804
gliosavk,0.32,0.117,0.134,989,1610
ipubezlf,0.584,0.481,0.798,332,1311
gxiibrjt,0.619,0.444,0.865,132,665
krdyugoo,0.529,0.292,0.789,646,1352
dbshabwz,0.366,0.117,0.196,564,1498
gzkppzco,0.663,0.911,0.669,264,1069
ctooiafl,0.581,0.614,0.797,672,1409
shewwbut,0.612,0.714,0.894,108,1455
ywxjxxsl,0.501,0.767,0.744,548,1210
evrgykqm,0.575,0.544,0.778,498,1089
kyrvkwax,0.588,0.525,0.808,200,1100
hqwrqvop,0.507,0.361,0.566,916,1591
xtycqdka,0.662,0.136,0.67,747,1752
tlypyset,0.57,0.283,0.847,105,294
todgnovx,0.4,0.992,0.224,809,1696
flfjgbub,0.658,0.042,0.677,641,1385
azkjxzkb,0.547,0.022,0.696,81,1057
eveixocy,0.382,0.264,0.187,226,1713
edmervuy,0.548,0.8,0.734,440,1694
spqlpvye,0.489,0.183,0.514,405,1432
mgczmoql,0.662,0.125,0.664,580,708
fdkghyou,0.609,0.358,0.885,425,1583
pqfazsvx,0.448,0.889,0.406,101,1880
jshxhsbl,0.594,0.078,0.901,483,1824
mqkkxuan,0.511,0.239,0.614,512,1179
tffifzyi,0.681,0.811,0.618,125,926
jziwbals,0.662,0.319,0.647,28,522
umgeohjb,0.603,0.081,0.71,791,1949
dxybiqky,0.484,0.922,0.506,682,1962
qovbmjeg,0.33,0.297,0.078,901,1875
naiuquud,0.596,0.5,0.812,408,1565
nufyfmem,0.624,0.989,0.682,974,1861
vtgdavej,0.568,0.481,0.887,849,1993
aestezkt,0.431,0.456,0.245,343,1623
leptjpas,0.662,0.322,0.622,940,1093
eoocjoqk,0.433,0.367,0.382,800,1042
ycfmxyuc,0.328,0.25,0.072,650,1935
dkapqrhz,0.579,0.128,0.719,7,1554
giqkecmt,0.609,0.711,0.875,309,1208
ajogvqno,0.535,0.939,0.617,297,617
fyzirbhn,0.438,0.353,0.394,401,1543
laifqfvy,0.517,0.886,0.818,5,1792
dahfhlme,0.686,0.125,0.586,932,1021
mlulaian,0.351,0.247,0.103,985,989
zzrtoiag,0.652,0.119,0.654,908,1211
oizkxlhy,0.562,0.522,0.773,112,1570
dvguxspu,0.436,0.183,0.397,411,1826
quzcftmr,0.657,0.139,0.602,886,1337
funidwit,0.529,0.383,0.892,180,840
burowluo,0.516,0.175,0.516,830,1665
sjcuulej,0.423,0.125,0.186,275,799
eajesysn,0.67,0.064,0.639,714,1192
qctxksxm,0.563,0.594,0.772,930,1175
akflkvpz,0.576,0.897,0.82,338,1987
cpuyqeps,0.583,0.867,0.813,480,1105
utqoplhj,0.452,0.019,0.4,23,1879
tgdjxlav,0.693,0.156,0.543,491,504
sowjrxjw,0.548,0.025,0.726,725,1672
avcyamgs,0.671,0.028,0.581,144,1412
fmztxhte,0.557,0.1,0.718,906,1489
pqqyfrxh,0.563,0.464,0.783,46,624
qwndnybd,0.34,0.064,0.069,201,1246
wumzansh,0.571,0.722,0.814,724,964
debnapwt,0.547,0.142,0.72,999,1008
nfolepyn,0.552,0.586,0.754,320,998
lwqhnykr,0.573,0.0,0.712,316,1663
ulxuqmtg,0.434,0.125,0.321,639,1943
yddzmrso,0.573,0.464,0.815,150,1764
ypujjxhl,0.514,0.061,0.541,312,433
mmgnrdbg,0.583,0.956,0.731,542,1998
iynnthbq,0.588,0.519,0.855,180,1263
fppysohb,0.522,0.775,0.587,553,756
xewdzciw,0.534,0.681,0.728,264,1259
ycoaimzj,0.542,0.556,0.741,144,239
foipbcjw,0.566,0.15,0.681,957,1006
qeafywjo,0.442,0.322,0.348,234,762
bipmtuwv,0.374,0.989,0.128,829,863
ydstztou,0.693,0.906,0.524,376,1563
nrisipms,0.689,0.075,0.562,957,1749
grkyayif,0.379,0.997,0.137,341,1858
kghueizx,0.527,0.044,0.558,636,756
mbfoouvp,0.477,0.133,0.424,915,1840
kpcbfxqc,0.336,0.414,0.033,122,1838
wqcdxynu,0.701,0.125,0.5,134,294
crbgucwv,0.594,0.25,0.771,910,1497
hqcfsjef,0.548,0.167,0.693,356,1449
guqsdnlh,0.517,0.214,0.845,883,1097
fqaddddb,0.553,0.106,0.686,398,1007
suwhkzfl,0.589,0.639,0.841,343,1097
vchnleum,0.584,0.422,0.747,965,1616
yplndwjz,0.449,0.194,0.351,792,1427
ribujpng,0.54,0.903,0.573,515,1328
oieydlpi,0.67,0.35,0.59,81,1056
gctlzahs,0.668,0.25,0.596,816,1488
qbqaucrx,0.558,0.617,0.804,775,1978
ipgeqamb,0.516,0.233,0.832,315,479
yivcvwrs,0.58,0.303,0.82,926,1189
zpienmut,0.576,0.236,0.757,940,1322
bxahaxcr,0.681,0.219,0.558,971,1779
mxzavkzq,0.573,0.375,0.756,372,1014
pclojwti,0.357,0.136,0.055,529,753
vbuvxhtj,0.701,0.356,0.537,522,833
savquhhf,0.655,0.069,0.622,412,1385
opgdcgqg,0.51,0.969,0.49,488,1406
dhtawmtu,0.67,0.025,0.576,904,1515
zaszrbdb,0.558,0.722,0.853,291,961
gkexfymi,0.66,0.106,0.602,524,887
feztiuub,0.568,0.489,0.853,9,1404
dcbsykho,0.527,0.4,0.77,711,1144
uoqxpraa,0.562,0.486,0.74,712,1874
kwjodpjz,0.543,0.581,0.826,227,834
hqcaqcmp,0.568,0.397,0.767,547,715
oqcjmkfs,0.542,0.0,0.679,11,950
riaaevyd,0.543,0.8,0.675,178,654
thbtveol,0.55,0.8,0.658,950,1865
oqkgpeid,0.469,0.317,0.365,985,1910
eiasoemf,0.463,0.875,0.349,422,1265
aiahjvzj,0.463,0.903,0.253,861,1862
pdhxpydk,0.465,0.889,0.249,412,876
jpcukjsd,0.532,0.45,0.713,158,194
imnbdfiu,0.575,0.375,0.805,913,1702
fgjsvuiz,0.56,0.203,0.725,80,271
rydwtnih,0.517,0.15,0.447,696,1362
ooqcrmdp,0.331,0.125,0.057,28,1731
scnanlih,0.563,0.2,0.755,399,939
ydcrycgx,0.599,0.108,0.623,161,1506
aaerngwg,0.485,0.217,0.413,29,1108
adnlchjn,0.671,0.919,0.562,553,1249
bawyfxck,0.639,0.914,0.594,53,1178
ycfhsnxj,0.345,0.986,0.077,122,606
gtojtnjm,0.552,0.247,0.687,637,823
mseysqal,0.475,0.042,0.342,741,1101
xlhdvbjy,0.445,0.242,0.211,512,1765
wvybngml,0.648,0.911,0.588,581,1635
uyzowsvo,0.566,0.792,0.834,594,719
ryxteigu,0.555,0.3,0.578,617,1746
nttyiacu,0.537,0.214,0.55,725,1920
dqpnwceu,0.475,0.989,0.364,425,1773
tmpeupnr,0.468,0.294,0.265,939,1114
ecftyoyi,0.611,0.067,0.615,675,1330
gcewccpi,0.539,0.144,0.654,543,1788
ilameefm,0.527,0.725,0.802,130,1065
epmthdzm,0.53,0.644,0.805,6,127
ischcyyr,0.56,0.714,0.674,393,876
eumutfel,0.358,0.867,0.089,71,1167
sygvwctu,0.642,0.164,0.584,30,1299
mjbjvnzx,0.473,0.042,0.269,115,308
gpeduuby,0.368,0.025,0.112,692,1036
fgpawmjb,0.535,0.644,0.82,555,1977
ogdnoigl,0.571,0.683,0.838,182,357
oqvabjyh,0.477,0.261,0.253,909,1808
ziqfteez,0.565,0.95,0.675,157,581
pthhgusm,0.658,0.164,0.568,230,1234
safkpblg,0.501,0.0,0.419,676,816
tlilgqkc,0.473,0.169,0.258,673,1820
lxktdzqi,0.571,0.217,0.748,117,242
hhuxrjzl,0.528,0.392,0.488,310,917
teotszva,0.405,0.114,0.179,485,860
ksuxultv,0.663,0.358,0.548,635,1086
kwwfnuea,0.527,0.6,0.803,293,1991
tsnoeltk,0.655,0.2,0.542,162,762
vatuboaf,0.548,0.083,0.629,241,717
knqfeesb,0.537,0.278,0.601,941,1125
kslkvhwc,0.688,0.0,0.504,596,1987
scwfypra,0.671,0.147,0.515,673,1051
ogtosyrc,0.522,0.656,0.795,518,1284
alztpgha,0.508,0.978,0.403,620,1162
awogozvr,0.522,0.706,0.799,646,1910
wjuhcasf,0.471,0.125,0.315,799,1639
qyheylaj,0.699,0.933,0.484,298,1178
snpnvqwk,0.665,0.772,0.511,27,1287
xhyasvyw,0.547,0.172,0.63,517,1752
msdpfpzo,0.537,0.658,0.815,498,1224
mctnvuwt,0.596,0.781,0.778,4,219
zrimonno,0.548,0.792,0.604,21,349
afydqhtk,0.466,0.114,0.244,112,205
vvuyzjgt,0.657,0.45,0.51,452,669
vnbexfcv,0.629,0.192,0.544,546,1314
onzibvcr,0.518,0.142,0.467,76,855
zltndzst,0.662,0.339,0.493,587,978
zdsovlna,0.583,0.225,0.583,858,1421
cydqimff,0.552,0.697,0.824,60,82
gijkjfgy,0.56,0.075,0.672,898,1622
xekiumwe,0.547,0.111,0.64,83,1297
gtinnprm,0.543,0.967,0.529,511,1770
ssnmgdrl,0.645,0.522,0.522,65,1845
wxgolktc,0.487,0.417,0.274,170,1557
bocqcsqz,0.639,0.514,0.509,354,1009
trdgleax,0.496,0.136,0.357,320,1137
izfzmrvw,0.537,0.308,0.512,626,1891
nzvsalgk,0.476,0.306,0.263,431,1445
uvegqmkn,0.704,0.236,0.449,407,910
cuvvanub,0.665,0.083,0.469,864,1727
grjcbfng,0.548,0.103,0.549,566,809
aqylujej,0.571,0.767,0.828,141,1172
dewzwlzs,0.575,0.781,0.824,42,961
wrrldhip,0.542,0.078,0.521,730,1086
efoitbkw,0.531,0.919,0.494,396,763
naoeovah,0.563,0.875,0.706,161,1150
lubfvbos,0.56,0.803,0.629,928,1752
jvevkkhz,0.515,0.142,0.378,802,1547
rleiarwh,0.478,0.286,0.301,172,1736
aosqiubz,0.54,0.353,0.407,353,963
rmkpbphf,0.485,0.264,0.347,707,1783
hxiunikz,0.644,0.264,0.462,986,1041
huomasdn,0.559,0.261,0.602,412,759
udqnlmpu,0.588,0.125,0.779,773,1683
tkcbdzgy,0.612,0.169,0.466,189,423
pqmjkuom,0.593,0.064,0.489,816,1932
mydybida,0.562,0.25,0.519,784,1973
lbdnxusa,0.521,0.489,0.447,130,261
mjrqodoq,0.568,0.183,0.67,583,1024
mjmwdrvf,0.335,0.419,0.084,255,1141
lbijukgr,0.665,0.311,0.405,591,1066
rrcgxwsr,0.54,0.675,0.79,518,1055
mkqmguzl,0.575,0.597,0.826,506,1679
uegyzqmv,0.581,0.661,0.823,314,1908
tmmboxkg,0.539,0.222,0.575,0,1469
lmvridsk,0.493,0.881,0.388,103,658
mhyicakk,0.461,0.036,0.302,931,1857
zhaqdwse,0.543,0.7,0.789,549,1286
eedoxdyu,0.499,0.397,0.437,135,1053
aagbpgsg,0.581,0.147,0.498,84,1121
tnihdnnu,0.53,0.392,0.561,775,967
hdisxdbo,0.471,0.514,0.335,555,773
bgqxsszz,0.457,0.419,0.236,953,1705
uytrjffx,0.45,0.4,0.223,436,1585
ajwphswy,0.428,0.325,0.207,934,1374
dixapkui,0.406,0.303,0.19,70,245
vmjngykz,0.558,0.35,0.669,360,797
cgtuncck,0.458,0.411,0.249,47,828
coduryxs,0.444,0.414,0.228,958,1375
dxkukpiy,0.442,0.411,0.223,233,1180
ldmhmdna,0.429,0.3,0.211,917,1043
adikbfpn,0.446,0.378,0.236,614,1357
cczlanvm,0.44,0.364,0.228,654,921
tlfihfuo,0.437,0.369,0.223,807,1218
ilavwxty,0.429,0.325,0.211,982,1418
temoufvn,0.376,0.275,0.169,446,1536
zvrsynfq,0.607,0.342,0.43,915,1594
jufmnvwn,0.601,0.464,0.457,329,1623
zaojopga,0.52,0.333,0.554,594,1930
ovxejyot,0.501,0.297,0.483,467,1713
ivorfbfk,0.497,0.975,0.47,187,1539
oqvayexh,0.463,0.561,0.341,331,642
rvyltvsf,0.432,0.353,0.219,494,1208
symdjbze,0.399,0.306,0.19,267,276
zxxpywau,0.603,0.539,0.437,192,621
kwltxowa,0.596,0.464,0.454,249,293
sjuseght,0.573,0.392,0.492,776,1555
twknwayo,0.547,0.161,0.525,140,193
bvxpjzmi,0.588,0.189,0.78,862,1200
aggcnsqr,0.422,0.361,0.211,401,1608
untnvvac,0.413,0.356,0.202,765,943
jycqrrta,0.401,0.331,0.194,150,1337
thnlcgas,0.599,0.281,0.431,661,1774
tecjhlui,0.596,0.386,0.439,593,1641
njeizovj,0.601,0.95,0.801,685,1892
kpykjsbs,0.543,0.136,0.656,350,1535
xoieksro,0.423,0.342,0.215,283,1808
sjlgyhfc,0.409,0.358,0.202,699,1518
crvhhxau,0.381,0.225,0.181,993,1203
pbiagtvr,0.601,0.125,0.428,618,961
qijoamyt,0.558,0.378,0.498,914,1425
brwowopz,0.604,0.058,0.806,66,1013
lkwtzaej,0.43,0.356,0.228,229,1866
enwdcvoq,0.39,0.239,0.19,747,1291
deywixfo,0.421,0.319,0.215,487,550
cphpomca,0.407,0.3,0.207,469,731
gerqiymz,0.398,0.197,0.199,686,871
torknsuc,0.403,0.139,0.203,987,1686
upcswzte,0.596,0.222,0.792,144,1017
hgtaynsg,0.5,0.347,0.462,50,760
mdqpcupt,0.498,0.453,0.456,817,888
fmescrdk,0.594,0.156,0.447,101,873
vhhptchi,0.507,0.975,0.486,830,930
xmjstwnd,0.411,0.064,0.212,961,1841
kudaaizt,0.409,0.025,0.208,373,1436
ccecfzgm,0.41,0.025,0.2,30,1549
nzwqefhv,0.49,0.333,0.429,202,1009
qppwhcoz,0.467,0.239,0.402,897,1351
djsccrjb,0.622,0.206,0.403,608,1992
sgpkddle,0.568,0.017,0.726,674,1878
qsiygglw,0.422,0.25,0.243,741,847
abmbcyry,0.566,0.783,0.706,775,1614
icuusqtl,0.573,0.086,0.734,891,1438
kioqhrmn,0.53,0.325,0.548,779,1957
bpbbdwvf,0.543,0.717,0.778,755,1015
fqybsoay,0.598,0.75,0.807,653,663
peibdjlo,0.56,0.208,0.681,264,1110
tyahghul,0.528,0.225,0.611,664,1299
upmrpyrw,0.449,0.083,0.361,507,903
qyuxcqbf,0.429,0.431,0.286,451,1801
twxprfqo,0.535,0.875,0.589,21,1033
exmazbjr,0.456,0.264,0.395,974,1418
unaqxvpm,0.399,0.214,0.185,746,1574
akzcqouc,0.446,0.344,0.333,613,834
eisillbk,0.524,0.125,0.568,508,1575
vpplwuxu,0.461,0.181,0.444,548,917
kltjzcqg,0.428,0.564,0.27,85,1889
jpcebtiu,0.555,0.939,0.481,629,1471
qxpizyzo,0.44,0.361,0.303,639,834
svmajbwd,0.532,0.358,0.602,962,1457
ewugcmpi,0.467,0.281,0.447,401,730
mebwkrzr,0.603,0.25,0.397,707,979
wdiawpvq,0.591,0.675,0.831,297,1709
vmtgjlar,0.515,0.089,0.52,65,1964
ikvwxoxt,0.611,0.5,0.381,184,1669
mnokydmn,0.377,0.367,0.177,947,1772
xpjiylkt,0.56,0.375,0.456,383,1817
wfroqqkp,0.547,0.981,0.692,756,1734
ffcrofuo,0.457,0.225,0.424,472,1402
gdetiyjy,0.599,0.25,0.391,279,1535
yhtrcdmi,0.603,0.125,0.79,937,1151
jvdswpfo,0.442,0.483,0.345,45,1760
abuuahgn,0.409,0.464,0.236,227,1261
whfhbyyy,0.354,0.389,0.156,737,1074
evkwvvsw,0.44,0.394,0.346,717,818
yxdiujaj,0.571,0.742,0.808,755,1683
ovwkppsn,0.578,0.014,0.696,678,1543
gsgyfdkw,0.363,0.953,0.114,623,1093
lignqvzy,0.522,0.289,0.512,228,1020
hpyyuwnw,0.594,0.431,0.388,490,1171
uexvhfhm,0.525,0.589,0.575,792,1946
jkriyrxz,0.526,0.55,0.571,955,1765
wijaqfwi,0.576,0.3,0.409,79,1385
pgntpwgu,0.57,0.189,0.42,472,907
kzllnovd,0.576,0.731,0.808,786,1313
ocooyfux,0.575,0.067,0.752,942,1275
xodmiwyo,0.573,0.05,0.735,947,1965
fcqzbrtm,0.586,0.225,0.779,852,1516
oiuxwfyy,0.54,0.8,0.765,184,1352
btltxabh,0.545,0.769,0.774,882,1710
ltxpclen,0.585,0.897,0.714,452,1846
uygjsejd,0.521,0.875,0.724,666,1832
xysqmdon,0.537,0.267,0.543,996,1105
zobwpzbp,0.525,0.2,0.64,660,1161
qsomnlup,0.525,0.0,0.644,849,1293
tsrmslfg,0.521,0.5,0.664,275,926
whfugsns,0.504,0.397,0.473,423,680
tffdcunb,0.594,0.989,0.796,332,1817
qmxdfkty,0.379,0.042,0.232,779,1982
bpacmxjp,0.57,0.944,0.418,275,1705
oxiaqliq,0.552,0.767,0.507,289,434
trsekqgm,0.45,0.444,0.391,951,1546
charhhzf,0.394,0.025,0.249,828,1974
drargssf,0.584,0.603,0.821,386,1738
iprfmiyo,0.552,0.336,0.64,367,1125
jgpbiavg,0.53,0.325,0.615,467,1024
dttyazyn,0.416,0.953,0.255,403,1948
svzbcxdz,0.401,0.008,0.184,569,1484
ajxtqsnu,0.548,0.653,0.785,892,1673
shrcxlqb,0.547,0.333,0.635,473,1134
yagsqcnf,0.514,0.344,0.597,412,1394
sjzgkgbf,0.578,0.939,0.406,688,726
qtbnxfei,0.568,0.172,0.451,816,1600
gcszkbym,0.553,0.394,0.671,560,987
zznjyyyp,0.562,0.131,0.476,24,465
qwausuqe,0.44,0.864,0.248,516,549
zpghsxdx,0.562,0.014,0.479,782,1014
fsqmcedz,0.529,0.675,0.765,611,1366
repcaedf,0.594,0.375,0.829,603,1045
lzaqacqy,0.446,0.75,0.431,5,244
ulnbmlmu,0.416,0.883,0.136,590,1891
dfddtjia,0.37,0.247,0.078,514,1738
xmxonrtq,0.53,0.733,0.771,935,1064
wkzornuh,0.558,0.703,0.812,831,1138
adhlbkhe,0.379,0.231,0.081,892,1199
smhojlsz,0.358,0.256,0.057,659,1285
sxvvjzje,0.54,0.053,0.559,728,1656
ikwvzuts,0.528,0.125,0.618,930,1907
emaakhkq,0.453,0.114,0.458,54,1201
vnqnrxvr,0.463,0.967,0.388,183,1503
ddkshmec,0.496,0.3,0.559,271,1571
xnnngtcs,0.53,0.656,0.769,655,763
wbgvuuut,0.568,0.647,0.833,90,1300
vwnevjfs,0.479,0.089,0.36,24,1012
kqqzylle,0.537,0.05,0.608,688,1877
szkbyzor,0.484,0.031,0.372,460,1138
ssdrbcaf,0.468,0.131,0.318,25,363
wdjdkuyw,0.451,0.172,0.259,65,1922
ujuwwamq,0.421,0.211,0.158,98,904
uclzmcsd,0.571,0.661,0.838,92,860
oymvhbom,0.42,0.458,0.128,316,1118
nwutqfom,0.436,0.219,0.19,660,1459
jbxgnkwn,0.398,0.228,0.085,630,1722
bovitjzs,0.393,0.128,0.073,128,1971
iemeueno,0.57,0.7,0.835,75,1008
zfsqtcfu,0.498,0.078,0.392,498,1462
fbtdyvoe,0.475,0.175,0.316,864,1880
uaxibgic,0.387,0.261,0.064,17,1423
blrwzqnl,0.365,0.422,0.039,370,1764
vyxxmick,0.476,0.233,0.316,697,1764
hzydoszo,0.534,0.578,0.791,240,1380
vudxhwnt,0.49,0.197,0.333,460,1719
hsklnfao,0.415,0.497,0.131,698,925
wfpqtxbd,0.578,0.183,0.531,424,1561
jvrdrcrq,0.568,0.172,0.539,128,890
nulgnwqi,0.54,0.442,0.687,344,1357
sgqsbpin,0.535,0.361,0.654,981,1237
jdjahsom,0.496,0.297,0.338,122,243
pzotbogq,0.545,0.339,0.721,408,424
errjodhl,0.369,0.092,0.021,698,1813
vphzuyip,0.54,0.125,0.647,758,948
azbfoula,0.473,0.122,0.267,840,1268
fzcuqlbt,0.608,0.144,0.436,754,963
qnhnrijm,0.537,0.15,0.503,86,385
lcptglwj,0.505,0.081,0.473,980,1406
mjpghmzj,0.503,0.356,0.385,68,839
nbnrshnq,0.544,0.978,0.604,730,1537
fojcywye,0.581,0.069,0.541,33,1264
jvvrlhbc,0.58,0.136,0.553,788,1888
hfajmkik,0.502,0.536,0.403,321,963
sntrmqmd,0.56,0.433,0.777,577,1251
itgucpev,0.543,0.175,0.5,112,361
bpopnxhl,0.38,0.019,0.064,512,1141
